cod_articulo,numero_proveedor,numero_deposito,cantidad,p_pesos,p_dolar
040403-010140,FRD,1A,8,0,98.24
040404-010240,FRD,1A,7,0,341.47
040504-08018,FRD,1A,8,0,14.5
040403-010150,FRD,1A,0,0,201.04
940404-010190,FRD,1A,2,0,141.3
040304-01013,FRD,1A,0,0,1594.36
080102-05005,FRD,1A,2,0,204.57
940400-030030,FRD,1A,2,0,58.37
940504-080050,FRD,1A,0,0,994.3
988500-150010,FRD,1A,1,0,362.15
040203-02020,FRD,1A,1,0,2.52
940504-04018,FRD,1A,2,0,28.67
040212-02032,FRD,1A,0,0,57.69
264010-00065,FRD,1A,1,0,144.2
040113-030600,FRD,1A,1,0,49.74
040113-030590,FRD,1A,1,0,2.16
040113-030580,FRD,1A,1,0,359.39
280030-06013,FRD,1A,1,0,28.76
160021-00130,FRD,1A,1,0,1819.86
024203-02061,FRD,1A,1,0,0.63
040113-03036,FRD,1A,1,0,105.55
040113-03031,FRD,1A,3,0,0.71
160021-00035,FRD,1A,1,0,7712.98
040113-03037,FRD,1A,1,0,559.37
264020-00040,FRD,1A,1,0,404.53
040123-060010,FRD,1A,0,0,1207.08
040300-02011,FRD,1A,1,0,100.91
040300-02014,FRD,1A,1,0,128.95
040300-02020,FRD,1A,1,0,287.35
017202-03011,FRD,1A,4,0,1.48
ZN215-12017,FRD,1A,2,0,49.93
017602-060040,FRD,1A,1,0,411.65
160021-00100,FRD,1A,1,0,320.69
084603-04016,FRD,1A,0,0,823.29
040300-08011,FRD,1A,2,0,453.11
040300-08012,FRD,1A,1,0,315.42
940300-07001,FRD,1A,0,0,1921.97
040300-07021,FRD,1A,1,0,92.82
040300-07020,FRD,1A,1,0,92.82
940304-13001,FRD,1A,1,0,21.28
023106-03005,FRD,1A,1,0,1570
023106-03028,FRD,1A,1,0,1570
040504-04015,FRD,1A,3,0,250
081300-05032,FRD,1A,1,0,250
081300-05032,FRD,1A,1,0,250
080203-03021,FRD,1A,11,0,105.2
080203-03021,FRD,1A,11,0,0
080203-03021,FRD,1A,11,0,0
022003-04010,FRD,1A,3,0,92.82
040504-070036,FRD,1A,1,0,0
040504-070700,FRD,1A,1,0,25
024206-05015,FRD,1A,1,0,0
040123-070030,FRD,1A,3,0,0
080204-03033,FRD,1A,2,0,0
084801-10000,FRD,1A,2,0,958.79
084801-06000,FRD,1A,1,0,680
084801-04000,FRD,1A,3,0,1390.54
HD 712-02104,FRD,1A,1,0,972.86
HD 612-07006,FRD,1A,23,0,206.29
HD712-99116,FRD,1A,2,0,33.07
HD712-02204,FRD,1A,2,0,563.96
HD712-02347,FRD,1A,1,0,688.37
280100-06211,FRD,1A,8,0,870.24
HD712-02004,FRD,1A,0,0,157.69
HD712-02025,FRD,1A,1,0,2441.12
HD712-01528,FRD,1A,1,0,1522.31
HD715-99157,FRD,1A,4,0,1675.49
HD712-01101,FRD,1A,1,0,2737.47
HD712-01012,FRD,1A,1,0,381.98
HD712-01049,FRD,1A,1,0,453.22
HD712-02009,FRD,1A,1,0,1001.67
HD712-02023,FRD,1A,1,0,626.14
HD712-02104,FRD,1A,2,0,1291.21
HD712-02343,FRD,1A,1,0,96.36
HD712-02350,FRD,1A,1,0,63.66
HD712-02203,FRD,1A,1,0,88.28
HD715-06013,FRD,1A,4,0,182.12
HD715-03605,FRD,1A,4,0,1642.12
HD612-03612,FRD,1A,8,0,119.88
HD612-03601,FRD,1A,4,0,51.8
HD712-01527,FRD,1A,1,0,136.21
HD712-03601,FRD,1A,8,0,0
HD712-03602,FRD,1A,8,0,4695.07
HD715-03606,FRD,1A,4,0,1194
HD712-01068,FRD,1A,2,0,1058.27
HD712-02003,FRD,1A,1,0,313.49
