"cod_articulo","numero_proveedor","numero_deposito","cantidad","p_pesos","p_dolar"
"025105-06017","FRD","1A","1","0.00","9.37"
"025205-010290","FRD","1A","6","0.00","15.72"
"080204-030620","FRD","1A","10","0.00","389.34"
"040212-010250","FRD","1A","2","0.00","310.11"
"040212-010270","FRD","1A","2","0.00","84.53"
"040212-010320","FRD","1A","2","0.00","4.89"
"040212-010370","FRD","1A","2","0.00","132.44"
"040212-010340","FRD","1A","2","0.00","3.35"
"040212-010360","FRD","1A","2","0.00","4.65"
"040212-03013","FRD","1A","2","0.00","133.31"
"040212-03014","FRD","1A","2","0.00","13.52"
"040214-010710","FRD","1A","2","0.00","5.74"
"040214-010700","FRD","1A","2","0.00","9.46"
"040214-010720","FRD","1A","2","0.00","186.62"
"040212-010390","FRD","1A","2","0.00","11.98"
"040212-010440","FRD","1A","2","0.00","11.80"
"040214-010860","FRD","1A","2","0.00","146.80"
"040214-010870","FRD","1A","2","0.00","16.60"
"040214-010430","FRD","1A","2","0.00","154.42"
"040212-010200","FRD","1A","2","0.00","2.76"
"040212-010310","FRD","1A","2","0.00","10.16"
"040212-010300","FRD","1A","2","0.00","275.66"
"040212-010350","FRD","1A","2","0.00","46.59"
"040212-010560","FRD","1A","2","0.00","98.24"
"040203-020470","FRD","1A","4","0.00","54.24"
"040212-01014","FRD","1A","2","0.00","105.55"
"040403-010140","FRD","1A","8","0.00","98.24"
"040404-010240","FRD","1A","7","0.00","341.47"
"040504-08018","FRD","1A","8","0.00","14.50"
"040403-010150","FRD","1A","0","0.00","201.04"
"940404-010190","FRD","1A","2","0.00","141.30"
"040304-01013","FRD","1A","0","0.00","1,594.36"
"080102-05005","FRD","1A","2","0.00","204.57"
"940400-030030","FRD","1A","2","0.00","58.37"
"940504-080050","FRD","1A","0","0.00","994.30"
"988500-150010","FRD","1A","1","0.00","362.15"
"040203-02020","FRD","1A","1","0.00","2.52"
"940504-04018","FRD","1A","2","0.00","28.67"
"040212-02032","FRD","1A","0","0.00","57.69"
"264010-00065","FRD","1A","1","0.00","144.20"
"040113-030600","FRD","1A","1","0.00","49.74"
"040113-030590","FRD","1A","1","0.00","2.16"
"040113-030580","FRD","1A","1","0.00","359.39"
"280030-06013","FRD","1A","1","0.00","28.76"
"160021-00130","FRD","1A","1","0.00","1,819.86"
"024203-02061","FRD","1A","1","0.00","0.63"
"040113-03036","FRD","1A","1","0.00","105.55"
"040113-03031","FRD","1A","3","0.00","0.71"
"160021-00035","FRD","1A","1","0.00","7,712.98"
"040113-03037","FRD","1A","1","0.00","559.37"
"264020-00040","FRD","1A","1","0.00","404.53"
"040123-060010","FRD","1A","0","0.00","1,207.08"
"040300-02011","FRD","1A","1","0.00","100.91"
"040300-02014","FRD","1A","1","0.00","128.95"
"040300-02020","FRD","1A","1","0.00","287.35"
"017202-03011","FRD","1A","4","0.00","1.48"
"ZN215-12017","FRD","1A","2","0.00","49.93"
"017602-060040","FRD","1A","1","0.00","411.65"
"160021-00100","FRD","1A","1","0.00","320.69"
