"cod_articulo","numero_proveedor","numero_deposito","cantidad","p_pesos","p_dolar"
"MINI CARG- 02","N/A","3A","0","0","0"
"MINI CARG- 03","N/A","3A","0","0","0"
"MINI CARG- 04","N/A","3A","0","0","0"
"MINI CARG- 05","N/A","3A","2","0","82.5"
"TURCHI AC","N/A","3A","0","0","0"
"TURCHI COM","N/A","3A","0","0","0"
"TURCHI MOT 1","N/A","3A","0","0","0"
"TURCHI MOT 2","N/A","3A","0","0","0"
"P550881-","DONALDSON","3A","-1","0","44.7"
"P550428-","DONALDSON","3A","2","0","36.5"
"P164381-","DONALDSON","3A","5","0","74.4"
"P780522-","DONALDSON","3A","6","0","116.5"
"P780523-","DONALDSON","3A","3","0","68.12"
"P537876-","DONALDSON","3A","4","0","124.21"
"P537877-","DONALDSON","3A","6","0","65.41"
"P550848","DONALDSON","3A","0","0","80.9"
"P165876-","DONALDSON","3A","5","0","113.83"
"P551348-","DONALDSON","3A","7","0","42.4"
"RS5335-","BALDWIN","3A","4","0","0"
"RS3744","BALDWIN","3A","2","0","0"
"2206063319","CUMMINS","3A","5","0","0"
"2206065309","CUMMINS","3A","4","0","0"
"2207066385","CUMMINS","3A","3","0","0"
"FF5321-","CUYOPARTS","3A","6","0","21.3"
"LF667-","CUYOPARTS","3A","2","0","17.78"
"BT8851-MPG-","CUYOPARTS","3A","3","0","85.1"
"AF25964-","CUYOPARTS","3A","2","0","56.17"
"P777639","CUYOPARTS","3A","2","0","42.63"
"H9075-","CUYOPARTS","3A","3","0","127.37"
"Z719","N/A","3A","10","0","5.63"
"Z718","N/A","3A","10","0","5.63"
"H4LEED","N/A","3A","2","0","23.19"
"5W24V","N/A","3A","10","0","0.99"
"P164164-","DONALDSON","3A","6","0","172.42"
"55193142-","SDVK","3A","8","0","175.4"
"81893749-","SDVK","3A","3","0","114.9"
"55043237","SDVK","3A","10","0","20.58"
"88479009","SDVK","3A","2","0","464.54"
"8537016","SDVK","3a","2","0","6.59"
"15235798-","SDVK","3a","17","0","38.68"
"15225488","SDVK","3a","14","0","136.36"
"55025900-","SDVK","3a","8","0","544.86"
"88630449-","SDVK","3a","8","0","279.54"
"55168783","SDVK","3a","2","0","888.7"
"55003855","SDVK","3a","2","0","122.37"
"55007750","SDVK","3a","1","0","1541.6"
"81438799","SDVK","3a","1","0","281.32"
"80759069-","SDVK","3a","8","0","79.16"
"85168219","SDVK","3a","7","0","6.41"
"AF00100438","SDVK","3a","3","0","1.13"
"55042331","SDVK","3a","2","0","155.52"
"PD527","N/A","3A","0","0","203.78"
"PD528","N/A","3A","0","0","166"
"55042333","SDVK","3A","1","0","1353.4"
"55042209","SDVK","3A","1","0","1028.65"
"P551315-","CUYOPARTS","3A","2","0","15.52"
"P554004-","CUYOPARTS","3A","2","0","2565.63"
"P164378-","CUYOPARTS","3A","3","0","12279.74"
"AT203469","CUYOPARTS","3A","3","0","8105.08"
"AT203470","CUYOPARTS","3A","3","0","6151.09"
"IR-751-611","CUYOPARTS","3A","3","0","3072.89"
"P164164--","CUYOPARTS","3A","6","0","25034.86"
"P164174--","CUYOPARTS","3A","3","0","18377.76"
"R-TOYOTAIMV24","N/A","3A","0","0","167.88"
"NA00011","N/A","3A","0","0","7.83"
"NA00012","N/A","3A","-3","0","1.61"
