Etapa,Entrada,Producto,Salida
Finca,MP001,PP001,PF001
Finca,MP001,PP001,PF002
Finca,MP001,PP001,PF003
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Fermentación,PF001,PP009,PP009
Fermentación,PF002,PP010,PP010
Fermentación,PF003,PP011,PP011
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
Fermentación,0,0,0
