"codigo,""descripcion"",""unidad_medida"",""tipo"""
"150021-81170,""CHAVETA EJE ESTRIADO ACOPLE BOMBA HIDRAÚLICA"",""UNIDAD"",""REPUESTOS"""
"923105-02002,""LUBRICADOR"",""UNIDAD"",""REPUESTOS"""
"925105-06012,""SENSOR DE FLUJO"",""UNIDAD"",""REPUESTOS"""
"940404-01011,""VÁLVULA SOLENOIDE"",""UNIDAD"",""REPUESTOS"""
"940404-010131,""VÁLVULA SOLENOIDE UNIDAD COMPRESORA"",""UNIDAD"",""REPUESTOS"""
"980204-05014,""CILINDRO NEUMÁTICO ENGRASADOR DE BARRAS"",""UNIDAD"",""REPUESTOS"""
"980204-09011,""MOTOR ROTACION CAMBIADOR DE BARRAS"",""UNIDAD"",""REPUESTOS"""
"917302-030240,""TAPA TANQUE COMBUSTIBLE"",""UNIDAD"",""REPUESTOS"""
"022001-03007,""DUST SEAL (SELLO CILINDRO TENSOR ORUGA)"",""UNIDAD"",""REPUESTOS"""
"264020-00090,""SNAP RING (SEGURO CILINDRO TENSOR ORUGA)"",""UNIDAD"",""REPUESTOS"""
"085620-70606,""PACKING (SELLO CILINDRO TENSOR ORUGA)"",""UNIDAD"",""REPUESTOS"""
"3222-3182-49,""PALETA VENTILADOR FRD"",""UNIDAD"",""REPUESTOS"""
"3222-3155-55,""PALETA VENTILADOR FRD"",""UNIDAD"",""REPUESTOS"""
"088504-02011,""MANGAS P/POLVO GRANDE FRD"",""UNIDAD"",""REPUESTOS"""
"088502-05015,""MANGAS P/POLVO CHICA FRD"",""UNIDAD"",""REPUESTOS"""
"083204-030310,""DESLIZADERA FRD EDII"",""UNIDAD"",""REPUESTOS"""
"083204-030320,""DESLIZADERA FRD EDII"",""UNIDAD"",""REPUESTOS"""
"083204-03018,""DESLIZADERA FRD EWW"",""UNIDAD"",""REPUESTOS"""
"083204-030280,""DESLIZADERA FRD EDII"",""UNIDAD"",""REPUESTOS"""
"040504-01015,""RELOJ TEMPERATURA AIRE"",""UNIDAD"",""REPUESTOS"""
"040504-01016,""RELOJ TEMPERATURA ACEITE"",""UNIDAD"",""REPUESTOS"""
"083204-03023,""DESLIZADERA FRD EWW"",""UNIDAD"",""REPUESTOS"""
"032614-03014,""DESLIZADERA FRD EDII"",""UNIDAD"",""REPUESTOS"""
"032614-03013,""DESLIZADERA FRD EDII"",""UNIDAD"",""REPUESTOS"""
"081600-03010,""SUPLEMENTO DESLIZADERA MARTILLO FRD EDII"",""UNIDAD"",""REPUESTOS"""
"040113-08019,""CODOS CIRCUITO DE AGUA FRD Nº 01"",""UNIDAD"",""REPUESTOS"""
"040113-08020,""CODOS CIRCUITO DE AGUA FRD Nº 01"",""UNIDAD"",""REPUESTOS"""
"040603-01025,""JOYSTICK"",""UNIDAD"",""REPUESTOS"""
"040603-01026,""JOYSTICK"",""UNIDAD"",""REPUESTOS"""
"040603-01028,""LLAVE DE VELOCIDAD"",""UNIDAD"",""REPUESTOS"""
"024109-03021,""DIAFRAGMA UC"",""UNIDAD"",""REPUESTOS"""
"040202-03004,""DIAFRAGMA U C FRD 01"",""UNIDAD"",""REPUESTOS"""
"025208-01055,""MANIJA PARA PUERTA"",""UNIDAD"",""REPUESTOS"""
"083002-02013,""PIÑON CUNA MARTILLO"",""UNIDAD"",""REPUESTOS"""
"083002-02015,""PERNO DE PIÑON"",""UNIDAD"",""REPUESTOS"""
"081300-05032,""MORDAZAS T 45"",""UNIDAD"",""REPUESTOS"""
"088503-030230,""MANGON ASPIRADOR DE POLVO 125 x 1300 MM"",""UNIDAD"",""REPUESTOS"""
"040504-08018,""PANEL AUTOADHESIVO TABLERO MOVIMIENTOS"",""UNIDAD"",""REPUESTOS"""
"940400-03001,""FILTRO SECADO DE AIRE"",""UNIDAD"",""REPUESTOS"""
"040504-08021,""LAMINA TABLERO DE MOVIMEINTOS"",""UNIDAD"",""REPUESTOS"""
"FRD P4P5,""RETEN BOMBA P4-P5"",""UNIDAD"",""REPUESTOS"""
"940213-01011,""COUPLING"",""UNIDAD"",""REPUESTOS"""
"081300-05012,""SCREW, SET"",""UNIDAD"",""REPUESTOS"""
"120142-16000,""NUT"",""UNIDAD"",""REPUESTOS"""
"170312-00000,""1/8 GREASE NIPPLE"",""UNIDAD"",""REPUESTOS"""
"081900-02040,""CAM, FOLLOWER"",""UNIDAD"",""REPUESTOS"""
"083204-02026,""COVER, BEARING"",""UNIDAD"",""REPUESTOS"""
"025105-06016,""FLOAT"",""UNIDAD"",""REPUESTOS"""
"083002-03018,""ROLLER"",""UNIDAD"",""REPUESTOS"""
"040203-02015,""NIPPLE"",""UNIDAD"",""REPUESTOS"""
"040203-02016,""STRAINER"",""UNIDAD"",""REPUESTOS"""
"040203-02017,""ORIFFICE"",""UNIDAD"",""REPUESTOS"""
"081900-02041,""CAM, FOLLOWER"",""UNIDAD"",""REPUESTOS"""
"940231-000190,""UNIDAD COMPRESORA"",""UNIDAD"",""REPUESTOS"""
"080204-09012,""KIT SELLOS MOTORIN CANBIADOR DE BARRAS"",""UNIDAD"",""REPUESTOS"""
"040212-03017,""SWITCH THERMO UC"",""UNIDAD"",""REPUESTOS"""
"025105-06017,""SPRING (RESORTE SENSOR DE FLUJO)"",""UNIDAD"",""REPUESTOS"""
"025205-010290,""DIAFRAGMA"",""UNIDAD"",""REPUESTOS"""
"080204-030620,""BUSH"",""UNIDAD"",""REPUESTOS"""
"040212-010250,""O-RING"",""UNIDAD"",""REPUESTOS"""
"040212-010270,""O-RING"",""UNIDAD"",""REPUESTOS"""
"040212-010320,""BEARING COMPLETE"",""UNIDAD"",""REPUESTOS"""
"040212-010370,""BEARING COMPLETE"",""UNIDAD"",""REPUESTOS"""
"040212-010340,""BEARING"",""UNIDAD"",""REPUESTOS"""
"040212-010360,""RING SNAP"",""UNIDAD"",""REPUESTOS"""
"040212-03013,""BUSHING"",""UNIDAD"",""REPUESTOS"""
"040212-03014,""O-RING"",""UNIDAD"",""REPUESTOS"""
"040214-010710,""SNAP RING"",""UNIDAD"",""REPUESTOS"""
"040214-010700,""BEARING"",""UNIDAD"",""REPUESTOS"""
"040214-010720,""SNAP RING"",""UNIDAD"",""REPUESTOS"""
"040212-010390,""KEY"",""UNIDAD"",""REPUESTOS"""
"040212-010440,""KEY"",""UNIDAD"",""REPUESTOS"""
"040214-010860,""BEARING"",""UNIDAD"",""REPUESTOS"""
"040214-010870,""SNAP RING"",""UNIDAD"",""REPUESTOS"""
"040214-010430,""O-RING"",""UNIDAD"",""REPUESTOS"""
"040212-010200,""SEAL OIL"",""UNIDAD"",""REPUESTOS"""
"040212-010310,""RING SNAP"",""UNIDAD"",""REPUESTOS"""
"040212-010300,""BEARING"",""UNIDAD"",""REPUESTOS"""
"040212-010350,""RING SNAP"",""UNIDAD"",""REPUESTOS"""
"040212-010560,""O-RING"",""UNIDAD"",""REPUESTOS"""
"040203-020470,""VALVULA CHECK"",""UNIDAD"",""REPUESTOS"""
