"codigo,""descripcion"",""unidad_medida"",""tipo"""
"3222-3049-36,""KIT REPOS MOTOR HIDRAU CAPTADOR DE POLVO"",""UNIDAD"",""REPUESTOS"""
"3177-3092-56,""KIT SELLOS ELECTRO VALVULA DIRECCIONAL"",""UNIDAD"",""REPUESTOS"""
"3217-5316-00,""JUNTA DE GOMA MOTOR-CARCAZA CAPTADOR POLVO"",""UNIDAD"",""REPUESTOS"""
"3177-3092-88,""VALVULA DIRECCIONAL"",""UNIDAD"",""REPUESTOS"""
"3177-3092-55,""BOBINAS"",""UNIDAD"",""REPUESTOS"""
"3222-3264-95,""KIT SELLOS SECCION LATERAL PALANCAS COMANDO"",""UNIDAD"",""REPUESTOS"""
"3115-1648-02,""KIT SELLOS BOMBA LUBRICACION"",""UNIDAD"",""REPUESTOS"""
"3222-3327-81,""CORREA MOTOR BOMBA DE AGUA"",""UNIDAD"",""REPUESTOS"""
"3222-3179-30,""CORREA CIGÜEÑAL- ALTERNADOR"",""UNIDAD"",""REPUESTOS"""
"NA00008,""CORREA GATES CX81 TRI POWER"",""UNIDAD"",""REPUESTOS"""
"NA00009,""CORREA GATES Hi POWER 17 X 1100L"",""UNIDAD"",""REPUESTOS"""
"3115-9159-94,""KIT SERVICE MARTILLO 400 HS - F9"",""UNIDAD"",""REPUESTOS"""
"3115-9159-92,""KIT SERVICE MARTILLO 800 HS - F9"",""UNIDAD"",""REPUESTOS"""
"0147-1403-03,""SCREW - F9"",""UNIDAD"",""REPUESTOS"""
"3315-0195-08,""LOCK WASHER - F9"",""UNIDAD"",""REPUESTOS"""
"3222-3145-47,""SUCTION HOSE - F9"",""UNIDAD"",""REPUESTOS"""
"3216-0295-46,""HOSE HOLDER - F9"",""UNIDAD"",""REPUESTOS"""
"3162-1565-00,""SHACKLE - F9"",""UNIDAD"",""REPUESTOS"""
"3214-0806-04,""CHAIN - F9"",""UNIDAD"",""REPUESTOS"""
"0347-6200-17,""HOSE CLIP - F9"",""UNIDAD"",""REPUESTOS"""
"3222-3249-14,""RESERVOIR - F9"",""UNIDAD"",""REPUESTOS"""
"0347-6100-42,""HOSE CLIP - F9"",""UNIDAD"",""REPUESTOS"""
"0211-11963-33,""SCREW - F9"",""UNIDAD"",""REPUESTOS"""
"3222-1755-06,""CHECK - F9"",""UNIDAD"",""REPUESTOS"""
"3222-3052-80,""WRENCH - F9"",""UNIDAD"",""REPUESTOS"""
"NA00010,""CAJA CADENA ASA 100X 3MTS SKF - F9"",""UNIDAD"",""REPUESTOS"""
"9106-1775-18,""SENSOR DE TEMPERATURA - F9"",""UNIDAD"",""REPUESTOS"""
"3222-3064-45,""SHAFT COMPL.(EJE SPROCKET DE CADENA PUNTA DE PLUMA) - F9"",""UNIDAD"",""REPUESTOS"""
"3215-7549-00,""SHAFT (EJE SPROCKET) - F9"",""UNIDAD"",""REPUESTOS"""
"3222-3115-90,""CONNEC LINK (UNIONES DE CADENA) - F9"",""UNIDAD"",""REPUESTOS"""
"3222-3124-99,""COVER (PLACA GUIA DE CADENA - F9"",""UNIDAD"",""REPUESTOS"""
"3214-6235-01,""RUBBER DISC (SOMBRERO CAPTADOR DE POLVO) - F9"",""UNIDAD"",""REPUESTOS"""
"3222-1824-91,""SEALING KIT (KIT SELLOS MOTORIN DE TRASLACION) - F9"",""UNIDAD"",""REPUESTOS"""
"3222-3191-63,""SEAL KIT CILINDRO DE MORDAZAS - F9"",""UNIDAD"",""REPUESTOS"""
"9120-0993-06,""SEALING SET CILINDRO CAPTADOR DE POLVO - F9"",""UNIDAD"",""REPUESTOS"""
"9106-2066-98,""LINEAR SENSOR (SENSOR DE PROFUNDIDAD) - F9"",""UNIDAD"",""REPUESTOS"""
"9106-2324-33,""PULSE SENSOR - F9"",""UNIDAD"",""REPUESTOS"""
"3222-3255-40,""DISK - F9"",""UNIDAD"",""REPUESTOS"""
"3128-2407-02,""BUSHING HALF - F9"",""UNIDAD"",""REPUESTOS"""
"3217-9581-62,""SPARE PART SET (KIT REPARACION DE VLAVULA) - F9"",""UNIDAD"",""REPUESTOS"""
"3217-9581-64,""SPARE PART SET (KIT REPARACION DE VLAVULA) - F9"",""UNIDAD"",""REPUESTOS"""
"3222-3231-03,""SPARE PART SET (KIT REPARACION VALVULA REGULADORA DE AIRE) - F9"",""UNIDAD"",""REPUESTOS"""
"3115-1880-90,""SEAL KIT - F9"",""UNIDAD"",""REPUESTOS"""
"3176-0012-99,""VACUUM SWITCH - F9"",""UNIDAD"",""REPUESTOS"""
"3222-1756-04,""CHECK - F9"",""UNIDAD"",""REPUESTOS"""
"0823-0090-06,""CHECK VALVE - F9"",""UNIDAD"",""REPUESTOS"""
"3115-0286-00,""DOME NUT - F9"",""UNIDAD"",""REPUESTOS"""
"3115-0267-00,""WASHER - F9"",""UNIDAD"",""REPUESTOS"""
"3177-3092-88,""DIRECTION VALVE - F9"",""UNIDAD"",""REPUESTOS"""
"3217-8762-03,""SHAFT COUPLING - F9"",""UNIDAD"",""REPUESTOS"""
"0500-4500-61,""FLANGE BEARING - F9"",""UNIDAD"",""REPUESTOS"""
"3115-0212-00,""STRAP - F9"",""UNIDAD"",""REPUESTOS"""
"3115-0297-01,""SHIM - F9"",""UNIDAD"",""REPUESTOS"""
"3115-0297-02,""SHIM - F9"",""UNIDAD"",""REPUESTOS"""
"3115-0297-03,""SHIM - F9"",""UNIDAD"",""REPUESTOS"""
"3217-9206-82,""SEAL KIT - F9"",""UNIDAD"",""REPUESTOS"""
"3217-8667-52,""LUBRICATION PUMP - F9"",""UNIDAD"",""REPUESTOS"""
"3222324583,""COMPRESSOR - L8"",""UNIDAD"",""REPUESTOS"""
"367100011,""CORREA - L8"",""UNIDAD"",""REPUESTOS"""
"3222310926,""HOSE ASSEMBLY - L8"",""UNIDAD"",""REPUESTOS"""
"3222305280,""WRENCH - L8"",""UNIDAD"",""REPUESTOS"""
"3222334206,""LEVEL SENSOR - L8"",""UNIDAD"",""REPUESTOS"""
"3222331018,""CABLE SET - L8"",""UNIDAD"",""REPUESTOS"""
"3222343531,""PRESS GAUGE - L8"",""UNIDAD"",""REPUESTOS"""
"3222330283,""VALVULA OVERCENT - L8"",""UNIDAD"",""REPUESTOS"""
"3222333998,""GAS SPRING - L8"",""UNIDAD"",""REPUESTOS"""
"3222334003,""GAS SPRING - L8"",""UNIDAD"",""REPUESTOS"""
"3176602300,""MANOMETTER - L8"",""UNIDAD"",""REPUESTOS"""
"3222324914,""RESERVOIR - L8"",""UNIDAD"",""REPUESTOS"""
"3176667000,""NIPLE - L8"",""UNIDAD"",""REPUESTOS"""
"211196085,""SCREW - L8"",""UNIDAD"",""REPUESTOS"""
"3215512800,""LOCK PLATE - L8"",""UNIDAD"",""REPUESTOS"""
"3222310225,""SHAFT - L8"",""UNIDAD"",""REPUESTOS"""
"147139803,""SCREW - L8"",""UNIDAD"",""REPUESTOS"""
"3222325111,""EXPANDING - L8"",""UNIDAD"",""REPUESTOS"""
"3315019508,""LOCK WASHER - L8"",""UNIDAD"",""REPUESTOS"""
"3222325362,""LOCK DEVICE - L8"",""UNIDAD"",""REPUESTOS"""
"3222316982,""RUBBER DISK (SOMBRERO CAPTADOR DE POLVO) - L8"",""UNIDAD"",""REPUESTOS"""
"85769309,""VALVULA NO RETORNO UC"",""UNIDAD"",""REPUESTOS"""
"81805849,""KIT DE REPARACION"",""UNIDAD"",""REPUESTOS"""
"9084548,""MANOMETRO"",""UNIDAD"",""REPUESTOS"""
"9030038,""MANOMETRO"",""UNIDAD"",""REPUESTOS"""
"81816349,""MANOMETRO"",""UNIDAD"",""REPUESTOS"""
"86873169,""GAUGE"",""UNIDAD"",""REPUESTOS"""
"86774299,""MANGUERA P/MANOMETROS"",""METROS"",""REPUESTOS"""
"15235798,""DIAFRAGMA PULMON MARTILLO (GRANDE)"",""UNIDAD"",""REPUESTOS"""
"15225488,""DIAGRAGMA PULMON MARTILLO (CHICO)"",""UNIDAD"",""REPUESTOS"""
"80759069,""VALVULA DE PULMON DE MARTILLO"",""UNIDAD"",""REPUESTOS"""
"55025900,""KIT SELLOS MARTILLO"",""UNIDAD"",""REPUESTOS"""
"88630449,""KIT SELLOS MARTILLO"",""UNIDAD"",""REPUESTOS"""
"62392418,""JUEGO DE MORDAZAS T45"",""UNIDAD"",""REPUESTOS"""
"55002895,""LUBRICATION PUMP ASSY"",""UNIDAD"",""REPUESTOS"""
"23501198,""SPROCKET WHEEL"",""UNIDAD"",""REPUESTOS"""
"55024054,""COIL (BOBINA)"",""UNIDAD"",""REPUESTOS"""
"23503238,""SPROCKET WHEEL ASSY"",""UNIDAD"",""REPUESTOS"""
"55012389,""CHAIN PULLEY"",""UNIDAD"",""REPUESTOS"""
"86663119,""GREASE, NIPPLE"",""UNIDAD"",""REPUESTOS"""
"85119609,""CONTROL MANIPULATOR"",""UNIDAD"",""REPUESTOS"""
"55026014,""BUSHING BEARING"",""UNIDAD"",""REPUESTOS"""
"15252288,""BUSHING"",""UNIDAD"",""REPUESTOS"""
"15252308,""BUSHING"",""UNIDAD"",""REPUESTOS"""
"55026797,""BUSHING"",""UNIDAD"",""REPUESTOS"""
"55026798,""BUSHING"",""UNIDAD"",""REPUESTOS"""
"15226648,""BUSHING BEARING"",""UNIDAD"",""REPUESTOS"""
"15251968,""SHANK BUSHING"",""UNIDAD"",""REPUESTOS"""
"15412858,""SEAL HOUSING"",""UNIDAD"",""REPUESTOS"""
"23508158,""WEARING PIECE"",""UNIDAD"",""REPUESTOS"""
"23501628,""SLIDE"",""UNIDAD"",""REPUESTOS"""
"23501348,""SHIM"",""UNIDAD"",""REPUESTOS"""
"13488718,""SUCTION CAP"",""UNIDAD"",""REPUESTOS"""
"88177759,""HAND WHEEL"",""UNIDAD"",""REPUESTOS"""
"55004352,""KNOB"",""UNIDAD"",""REPUESTOS"""
"3267728,""OIL SEPARATOR"",""UNIDAD"",""REPUESTOS"""
"86727289,""FILTER CARTIDGE"",""UNIDAD"",""REPUESTOS"""
"55026146,""BUSHING BEARING"",""UNIDAD"",""REPUESTOS"""
"55026124,""RING"",""UNIDAD"",""REPUESTOS"""
"55025889,""COUPLING"",""UNIDAD"",""REPUESTOS"""
"55026796,""BUSHING"",""UNIDAD"",""REPUESTOS"""
"55020792,""CHUCK"",""UNIDAD"",""REPUESTOS"""
"15068938,""PLATE"",""UNIDAD"",""REPUESTOS"""
"55020793,""PISTON"",""UNIDAD"",""REPUESTOS"""
"55026123,""PISTON"",""UNIDAD"",""REPUESTOS"""
"55026799,""BUSHING"",""UNIDAD"",""REPUESTOS"""
"15414188,""PISTON"",""UNIDAD"",""REPUESTOS"""
"9704908,""FRONT CYLINDER ASSY"",""UNIDAD"",""REPUESTOS"""
"9256478,""BEARING BUSHING"",""UNIDAD"",""REPUESTOS"""
"9705508,""REAR CYLINDER"",""UNIDAD"",""REPUESTOS"""
"9671418,""DISTRIBUTOR"",""UNIDAD"",""REPUESTOS"""
"15413458,""REAR BUSHING"",""UNIDAD"",""REPUESTOS"""
"88645009,""BEARING BUSHING"",""UNIDAD"",""REPUESTOS"""
"02250057-036,""SEAL KIT UC SULLAIR 185"",""UNIDAD"",""REPUESTOS"""
"250041-081,""KIT COUPLING"",""UNIDAD"",""REPUESTOS"""
"2572015,""EMPAQUETADURA ATLAS ROCK L8"",""UNIDAD"",""REPUESTOS"""
"2237852,""SELLO INTEGRAL ATLAS ROCK L8"",""UNIDAD"",""REPUESTOS"""
"9M1974,""ARANDELA/GOLILLA ATLAS ROCK L8"",""UNIDAD"",""REPUESTOS"""
"9X8256,""ARANDELA/GOLILLA ATLAS ROCK L8"",""UNIDAD"",""REPUESTOS"""
"2264755,""SELLO INTEGRAL ATLAS ROCK L8"",""UNIDAD"",""REPUESTOS"""
"1178801,""SELLO ANILLO ATLAS ROCK L8"",""UNIDAD"",""REPUESTOS"""
"VU087,""ENGRAS. NEUMAT. P/BALDE DE 20K EN243"",""UNIDAD"",""REPUESTOS"""
"VU113,""KIT REPAR NEUMATICO GRASA"",""UNIDAD"",""REPUESTOS"""
"QSB6.7,""MOTOR 240 HP FRD"",""UNIDAD"",""REPUESTOS"""
"1250065404,""SERVICE KIT 1500HS ROC L8"",""UNIDAD"",""REPUESTOS"""
"OLI-243,""Engrasador neumatico 20 kg"",""UNIDAD"",""REPUESTOS"""
"OLI-244,""Kit reparacion cabezal Neumatic"",""UNIDAD"",""REPUESTOS"""
"OLI-CA 280,""Cabezal Neumatico para tambor"",""UNIDAD"",""REPUESTOS"""
"NA00026,""SOPORTE BARRERO DE HILUX 03"",""UNIDAD"",""REPUESTOS"""
"373-2789,""HARNESS AS-V_ ARNES DE CABLES- RANGER"",""UNIDAD"",""REPUESTOS"""
"520-1511,""HARNESS AS-W_ ARNES DE CABLES- RANGER"",""UNIDAD"",""REPUESTOS"""
"5201511X,""HARNESS-AS-W_ ARNES DE CABLES- RANGER"",""UNIDAD"",""REPUESTOS"""
"NA00027,""BOLSA DE RESIDUOS ROJO 80X115"",""UNIDAD"",""INSUMOS"""
"2874863,""ALTERNADOR FRD"",""UNIDAD"",""REPUESTOS"""
"ABRAZADERA-01,""ABRAZADERA 1 1/2"""""",""UNIDAD"",""REPUESTOS"""
"ABRAZADERA-02,""ABRAZADERA 34"",""UNIDAD"",""REPUESTOS"""
"ABRAZADERA-03,""ABRAZADERA 40"",""UNIDAD"",""REPUESTOS"""
"ABRAZADERA-04,""ABRAZADERA 76"",""UNIDAD"",""REPUESTOS"""
"ABRAZADERA-05,""ABRAZADERA DIXON CHICAS"",""UNIDAD"",""REPUESTOS"""
"ABRAZADERA-06,""ABRAZADERA DIXON DL24"",""UNIDAD"",""REPUESTOS"""
"ABRAZADERA-07,""ABRAZADERA DIXON DL32"",""UNIDAD"",""REPUESTOS"""
"ABRAZADERA-08,""ABRAZADERA DIXON JX49"",""UNIDAD"",""REPUESTOS"""
"ABRAZADERA-09,""ABRAZADERA par 2"""""",""UNIDAD"",""REPUESTOS"""
"ABRAZADERA-10,""ABRAZADERAS COMUNES"",""UNIDAD"",""REPUESTOS"""
"ACOPLE-01,""ACOPLE RAPIDO MANGUERA MARTILLO MANUAL 1 1/4"""""",""UNIDAD"",""REPUESTOS"""
"ACOPLE-02,""ACOPLE RAPIDO MANGUERA MARTILLO MANUAL 1"""""",""UNIDAD"",""REPUESTOS"""
"ACOPLE-03,""ACOPLE RAPIDO ROSCA HEMBRA 29MM"",""UNIDAD"",""REPUESTOS"""
"ACOPLE-04,""ACOPLE RAPIDO ROSCA HEMBRA 32MM"",""UNIDAD"",""REPUESTOS"""
"ACOPLE-05,""ACOPLE RAPIDO ROSCA HEMBRA 35MM"",""UNIDAD"",""REPUESTOS"""
"ACOPLE-06,""ACOPLE RAPIDO ROSCA MACHO 1"""""",""UNIDAD"",""REPUESTOS"""
"ACOPLE-07,""ACOPLE RAPIDO ROSCA MACHO 35MM"",""UNIDAD"",""REPUESTOS"""
"ADAPT-01,""ADAPTADOR DE ROSCA HT38-MR32"",""UNIDAD"",""REPUESTOS"""
"ADAPT-02,""ADAPTADOR DE ROSCA HT38-MR32 - USADO"",""UNIDAD"",""REPUESTOS"""
"ADAPT-03,""ADAPTADOR DE ROSCA HT45-MT38"",""UNIDAD"",""REPUESTOS"""
"ADAPT-04,""ADAPTADOR DE ROSCA HT45-MT45"",""UNIDAD"",""REPUESTOS"""
"ADAPT-05,""ADAPTADOR DE ROSCA HT45-MT51"",""UNIDAD"",""REPUESTOS"""
"ADAPT-06,""ADAPTADOR DE ROSCA HT51-MT45"",""UNIDAD"",""REPUESTOS"""
"SC-03,""AGARRE MARTILLO MANUAL EN DESUSO"",""UNIDAD"",""REPUESTOS"""
"BARRAINI-01,""BARRA DE INICIO T32 CATTELO"",""UNIDAD"",""INSUMOS"""
"BARRAINI-02,""BARRA DE INICIO T38"",""UNIDAD"",""INSUMOS"""
"BARRAINI-03,""BARRA DE INICIO T38 ROCKMORE "",""UNIDAD"",""INSUMOS"""
"BARRAINI-04,""BARRA DE INICIO T45 ATLAS COPCO - FRD"",""UNIDAD"",""INSUMOS"""
"BARRAINI-05,""BARRA DE INICIO T45 BOART LONGYEAR"",""UNIDAD"",""INSUMOS"""
"BARRAINI-06,""BARRA DE INICIO T45 FRD"",""UNIDAD"",""INSUMOS"""
"BARRAINI-07,""BARRA DE INICIO T45 ROCKMORE 450MM 44MM"",""UNIDAD"",""INSUMOS"""
"BARRAINI-08,""BARRA DE INICIO T45 ROCKMORE 722"",""UNIDAD"",""INSUMOS"""
"BARRAINI-09,""BARRA DE INICIO T51 ATLAS COPCO - RANGER 800"",""UNIDAD"",""INSUMOS"""
"BARRAINI-10,""BARRA DE INICIO T51 ATLAS COPCO - RANGER 800"",""UNIDAD"",""INSUMOS"""
"BARRAINI-11,""BARRA DE INICIO T51 ATLAS COPCO 437-14001-18,10"",""UNIDAD"",""INSUMOS"""
"BARRAINI-12,""BARRA DE INICIO T51 FRD"",""UNIDAD"",""INSUMOS"""
"BARRAINI-13,""BARRA DE INICO T51 ROCKMORE 600MM 52MM"",""UNIDAD"",""INSUMOS"""
"BARRAPERF-01,""BARRA DE PERFORACION T32 2,4M ROCKMORE ROSCA EN DOS EXTREMOS"",""UNIDAD"",""INSUMOS"""
"BARRAPERF-02,""BARRA DE PERFORACION T32 3M ROCKMORE ROSCA EN DOS EXTREMOS"",""UNIDAD"",""INSUMOS"""
"BARRAPERF-03,""BARRA DE PERFORACION T38 MM 3,6 MTS BOART LONGYEAR"",""UNIDAD"",""INSUMOS"""
"BARRAPERF-04,""BARRA DE PERFORACION T38 MM 3,6 MTS ROCKMORE"",""UNIDAD"",""INSUMOS"""
"BARRAPERF-05,""BARRA DE PERFORACION T38 MM 3,6 MTS ROCKMORE"",""UNIDAD"",""INSUMOS"""
"BARRAPERF-06,""BARRA DE PERFORACION T38 MM 3,6M ROBIT ROSCA EN DOS EXTREMOS"",""UNIDAD"",""INSUMOS"""
"BARRAPERF-07,""BARRA DE PERFORACION T38 MM 3,6M ROCKMORE DOBLE ROSCA EN DOS EXTREMOS"",""UNIDAD"",""INSUMOS"""
"BARRAPERF-08,""BARRA DE PERFORACION T38 MM 3M BOART LONGYEAR ROSCA DOS EXTREMOS"",""UNIDAD"",""INSUMOS"""
"BARRAPERF-09,""BARRA DE PERFORACION T38 MM 3M ROBIT ROSCA EN DOS EXTREMOS"",""UNIDAD"",""INSUMOS"""
"BARRAPERF-10,""BARRA DE PERFORACION T38 MM 3M ROCKMORE DOBLE ROSCA EN DOS EXTREMOS"",""UNIDAD"",""INSUMOS"""
"BARRAPERF-11,""BARRA DE PERFORACION T45 MF 1,8 MTS ATLAS COPCO"",""UNIDAD"",""INSUMOS"""
