CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN,DESCRIPCIÓN ADICIONAL
10172801,rollo,WIRE-ELECTRICAL-TWSTD-R90-14 AWG-GRN,ALAMBRE- ELECTRICIDAD- RETORCIDO- VERDE- GREEN- 14 AWG- R90
10172991,unidad,WASHER-LOCK-7/16 IN,ARANDELA- GROWER- 7/16IN
10173359,unidad,NUT-20 X 2.5 MM-SS-GR 8,TUERCA- ACERO INOXIDABLE- 20 X 2.5 MM- G8
10177193,unidad,SCREW-CAP-M10-80 MM-DIN 912,TORNILLO- M10 X 80 MM- DIN 912- REFERENCIA- C56004- MARCA- GH
10177974,unidad,NUT-HEXAGONAL-1 1/8 IN X 300 MM-8 UNC,TUERCA- ACERO- 1 1/8 IN X 300 MM-8 UNC- G 8
10177975,unidad,NUT-HEXAGONAL-7/8 IN X 300 MM-9 UNC-STL,TUERCA- ACERO- 7/8 IN X 300 MM-9 UNC- G9
10178065,unidad,NUT-HEXAGONAL-1 1/4 IN X 300 MM-8 UNC,TUERCA- ACERO- 1 1/4 IN X 300 MM-8 UNC- G9
10252356,unidad,ANGLE-STRUCTURAL-1 IN-6 M-1/8 IN-STL-IRN,ANGULO- ACERO- 1IN X 1/8IN X 6M
10251210,unidad,ANGLE-STRUCTURAL-2 IN-12 M-1/8 IN-STL,ANGULO- ACERO- 2IN X 1/8IN X 6M
10252357,unidad,ANGLE-STRUCTURAL-2 IN-6 M-3/16 IN-STL,ANGULO- ACERO- 4IN X 5/16IN X 12M
10251211,unidad,ANGLE-STRUCTURAL-4 IN-6 M-5/16 IN-STL,ANGULO- ACERO- 2IN X 3/16IN X 6M
10251212,unidad,ANGLE-STRUCTURAL-6 IN-6 M-1/2 IN-STL-IRN,ANGULO- ACERO- 6IN X 1/2IN X 12M
10252358,unidad,ANGLE-STRUCTURAL-1 IN-6 M-1/8 IN-IRN-STL,PLANCHA- ACERO- HIERRO PLANCHUELA- 1IN X 1/8IN X 6M
10251213,unidad,ANGLE-STRUCTURAL-2 IN-6 M-1/4 IN-IRN-STL,PLANCHA- ACERO- HIERRO PLANCHUELA- 2IN X 1/4IN X 6M
10252359,unidad,ANGLE-STRUCTURAL-3 IN-6 M-1/8 IN-IRN-STL,PLANCHA- ACERO- HIERRO PLANCHUELA- 3IN X 1/8IN X 6M
10250068,unidad,ANGLE-STRUCTURAL-4 IN-6 M-1/4 IN-IRN-STL,PLANCHA- ACERO- HIERRO PLANCHUELA- 4IN X 1/4IN X 6M
10251593,unidad,ANGLE-STRUCTURAL-4 IN-6 M-3/8 IN-IRN-STL,PLANCHA- ACERO- HIERRO PLANCHUELA- 4IN X 3/8IN X 6M
10252360,unidad,ANGLE-STRUCTURAL-6 IN-6 M-1/2 IN-IRN-STL,PLANCHA- ACERO- HIERRO PLANCHUELA- 6IN X 1/2IN X 6M
10251596,unidad,PROFILE-12 M LG X 120 X 50 X 15 X 2,PERFIL- LAMINADO EN FRIO- C 120 X 50 X 15 X 2- 12M
10275307,unidad,SHEET-2500 MM-1250 MM-10 MM-304 SS,PLANCHA- ACERO INOXIDABLE AISI 304- 2500MM X 1250MM X 10MM- 250KG
10252371,unidad,GASKET-SHEET-COMPRSD PLTE-2 M-1.5 M,PLANCHA- LAMINA COMPRIMIDA- KLINGER 4408- 1.5 X 2 M- ESPESOR- 1.2 MM
10250077,unidad,GASKET-SHEET-COMPRSD PLTE-2 M-1.5 M,PLANCHA- LAMINA COMPRIMIDA- KLINGER 4408- 1.5 X 2 M- ESPESOR- 1.5 MM
10251599,unidad,GASKET-SHEET-COMPRSD PLTE-2 M-1.5 M-2 MM,PLANCHA- LAMINA COMPRIMIDA- KLINGER 4408- 1.5 X 2 M- ESPESOR- 2 MM
10251227,unidad,GASKET-SHEET-COMPRSD PLTE-2 M-1.5 M-3 MM,PLANCHA- LAMINA COMPRIMIDA- KLINGER 4408- 1.5 X 2 M- ESPESOR- 3 MM
10251252,unidad,INDICATOR-BRT-COLOR-PORTHOLES GRN,INDICADOR- LUMINOSO- OJOS DE BUEY VERDE- BAW- MOD B6EV674Q
10251253,unidad,INDICATOR-BRT-COLOR-PORTHOLES GRN,INDICADOR- LUMINOSO- OJOS DE BUEY VERDE- BAW- MOD B6EV673BB
10251254,unidad,INDICATOR-BRT-COLOR-PORTHOLES GRN,INDICADOR- LUMINOSO- OJOS DE BUEY VERDE- BAW- MOD B6EV674Q
10275390,unidad,CIRCUIT BREAKER-MINIATURE-THRML MGNTC,INTERRUPTOR- AUTOMATICO- MAGNETOTERMICO- MULTI 9- C60N- 10 A- MARCA- MERLIN GERIN
10251256,unidad,BOARD-PLSTC-385 X 370 X 154 MM,TABLERO- PLASTICO- 385MM X 370MM X 154MM- 3306 IP65- COLECTOR DE POLVO
10252416,unidad,SHROUD-BI-MTLC-CDP 4666 ATCHMNT LFT,GUARDERA- BIMETALICA- MATERIAL CDP 4666- SEGUN PLANO- 220-418-00X
10251281,unidad,GAUGE-PRESSURE-VAC-0 TO 30 IN HG,MANOMETRO- MODELO- 25-1490-A-02L- HG- 0-30 IN- 0-100 KPA- NPT 1/4
10252440,unidad,GAUGE-PRESSURE-WTR-0 TO 15 PSI-+/-1%,MANOMETRO- MODELO- 25-1009-SWL-02L-15PSI- MARCA- ASHCROFT
10250131,unidad,GAUGE-PRESSURE-WTR TUBE CONDENSING,MANOMETRO- MODELO- 25-1009-SWL-02L-30PSI- MARCA- ASHCROFT
10252441,unidad,GAUGE-PRESSURE-CMPD--30 IN HG,MANOMETRO- MODELO- 25-1009-SWL-02L-20PSI- MARCA- ASHCROFT
10250132,unidad,GAUGE-PRESSURE-WTR SPRY NOZL-0 TO 60 PSI,MANOMETRO- MODELO- 25-1009-SWL-02L-60PSI- MARCA- ASHCROFT
10252446,unidad,BIT-DRILL-19.5 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO- CONICO- ACERO HSS-M2- 19.5 MM
10251291,unidad,BIT-DRILL-22 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO- CONICO- ACERO HSS-M2- 22 MM
10251665,unidad,BIT-DRILL-3.25 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 3.25 MM
10252447,unidad,BIT-DRILL-3.75 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 3.75 MM
10252448,unidad,BIT-DRILL-4 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 4 MM
10250136,unidad,BIT-DRILL-4.25 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 4.25 MM
10251292,unidad,BIT-DRILL-4.5 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 4.5 MM
10251293,unidad,BIT-DRILL-4.75 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 4.75 MM
