CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN,DESCRIPCIÓN ADICIONAL
10276472,unidad,CONNECTOR-PIPE-50 X 3.2 MM-PVC-45 DEG-MH,CONECTOR- TUBERIAS- RAMIFICADO- 45DEG- 50MM- 3.2MM- PVC- RAMAL- MH
10276473,unidad,CONNECTOR-PIPE-110 X 63 X 3.2 MM-PVC,CONECTOR- TUBERIAS- RAMIFICADO- 45DEG- 110MM X 63MM- 3.2MM- PVC- RAMAL- MH
10276474,unidad,CONNECTOR-PIPE-110 X 3.2 MM-PVC-90 DEG,CONECTOR- TUBERIAS- RAMIFICADO- 90DEG- 110MM- 3.2MM- PVC- RAMAL- HH
10251503,unidad,LID-50 X 3.2 MM-PVC,TAPA- PVC- 50 MM- 3.2 MM
10251504,unidad,LID-63 X 3.2 MM-PVC,TAPA- PVC- 63 MM- 3.2 MM
10252648,unidad,LID-110 X 3.2 MM-PVC-TOP,TAPA- PVC- 110 MM- 3.2 MM
10252649,tiron,PIPE-NON-METALLIC-40 MM-1 M-3.2 MM-PVC,TUBERIA- PLASTICO- 1M- 40MM- PVC- 3.2MM
10250346,tiron,PIPE-NON-METALLIC-50 MM-1 M-3.2 MM-PVC,TUBERIA- PLASTICO- 1M- 50MM- PVC- 3.2MM
10254930,tiron,PIPE-NON-METALLIC-63 MM-1 M-3.2 MM-PVC,TUBERIA- PLASTICO- 1M- 63MM- PVC- 3.2MM
10250347,tiron,PIPE-NON-METALLIC-110 MM-1 M-3.2 MM-PVC,TUBERIA- PLASTICO- 1M- 110MM- PVC- 3.2MM
10250349,unidad,BALL-FULBR KEY-PASS TOT-TWO BODIES,LLAVE ESFERICA- DE PASO TOTAL- DOS CUERPOS- PARA AGUA- 1/2 IN
10252651,unidad,BALL-FULBR KEY-PASS TOT-TWO BODIES,LLAVE ESFERICA- DE PASO TOTAL- DOS CUERPOS- PARA AGUA- 3/4 IN
10250350,unidad,BALL-FULBR KEY-PASS TOT-TWO BODIES,LLAVE ESFERICA- DE PASO TOTAL- DOS CUERPOS- PARA AGUA- 1 IN
10251508,unidad,BALL-FULBR KEY-PASS TOT-TWO BODIES,LLAVE ESFERICA- DE PASO TOTAL- DOS CUERPOS- PARA AGUA- 1-1/4 IN
10251509,unidad,BALL-FULBR KEY-PASS TOT-TWO BODIES,LLAVE ESFERICA- DE PASO TOTAL- DOS CUERPOS- PARA AGUA- 1-1/2 IN
10251510,unidad,BALL-FULBR KEY-PASS TOT-TWO BODIES,LLAVE ESFERICA- DE PASO TOTAL- DOS CUERPOS- PARA AGUA- 2 IN
10254934,unidad,BALLAST-EM-36/40 W-FOR INTR USE,BALASTO- ELECTROMAGNETICO- 36/40 W
10250351,unidad,COVER-WHT,TAPA- 3MOD- NBO- BLANCO- JELUZ
10252652,unidad,SOCKET-ELECTRICAL-MDLR-220 V-10 A-WHT,CONECTOR HEMBRA- MODULAR- ELECTRICIDAD- TOMA CORRIENTES- BLANCO- 10A/220V
10250352,unidad,SOCKET-ELECTRICAL-MDLR-POINT MDL-220 V,CONECTOR HEMBRA- MODULAR- ELECTRICIDAD- DE UN PUNTO- BLANCO- 220V
10254935,unidad,SOCKET-ELECTRICAL-BLND MDL-WHT,CONECTOR HEMBRA- MODULAR- ELECTRICIDAD- CIEGO- BLANCO
10254936,unidad,SEAT COVER-TOILET-CUSH-UNIVSL-PVC-WHT,ASIENTO- INODORO ACOLCHADO- UNIVERSAL- PVC- BLANCO
10252653,unidad,PLATE-METAL-35 CM-1/2 IN-FLEX STL,LAMINA- ACERO- ACERO MALLADO PARA AGUA- FLEXIBLE- 1/2IN X 35CM
10250353,unidad,PLATE-METAL-20 CM-1/2 IN-FLEX STL,LAMINA- ACERO- ACERO MALLADO PARA AGUA- FLEXIBLE- 1/2IN X 20CM
10251512,unidad,DRAIN-50 MM-SS-MULTPL-WASTES-SOPAPA,DESAGÜE- MULTIPLE- DESHECHOS- SOPAPA PLASTICA CON REJA ACERO INOXIDABLE- 50MM
10251513,unidad,SHOWER-LG-HD PLUS 61 FV-ALCACHOFA,ALCACHOFA- DUCHAS- LARGO DUCHA- 61 PLUS FV
10252656,unidad,ELBOW-PIPE-1 IN-90 DEG-EPXY,CODO- TUBERIAS- 90DEG- 1IN- EPOXI- HH
10252657,unidad,ELBOW-PIPE-1/2 IN-90 DEG-90-1/2 IN-EPXY,CODO- TUBERIAS- 90DEG- 1/2IN- EPOXI- HM
10250357,unidad,ELBOW-PIPE-3/4 IN-90 DEG-90-3/4 IN-EPXY,CODO- TUBERIAS- 90DEG- 3/4IN- EPOXI- HM
10276475,unidad,TEE-3/4 IN-3/4 IN-EPXY,TE- EPOXI- 3/4 IN
10276476,unidad,TEE-1 IN-1 IN-EPXY,TE- EPOXI- 1 IN
10252665,unidad,SUPPORT-ANGL PF,SOPORTE- ANGULAR- PERFIL ANGULO- 3IN- 3IN- 3/16IN- 1020
10251523,unidad,SUPPORT-ANGL PF,SOPORTE- ANGULAR- PERFIL ANGULO- 2IN- 2IN- 3/16IN- 1020
10250366,unidad,SUPPORT-ANGL PF,SOPORTE- ANGULAR- PERFIL ANGULO- 1IN- 1IN- 3/16IN- 1020
10251524,unidad,ANGLE-STRUCTURAL-1-1/2 IN-6 M-1/4 IN-IRN,ANGULO- HIERRO- HIERRO- 1-1/2IN X 1/4IN X 6M
10252666,unidad,ANGLE-STRUCTURAL-2 IN-6 M-1/4 IN-IRN,ANGULO- HIERRO- HIERRO- 2IN X 1/4IN X 6M
10250367,unidad,ANGLE-STRUCTURAL-3 IN-12 M-3/8 IN-IRN,ANGULO- HIERRO- HIERRO- 3IN X 3/8IN X 12M
10276491,unidad,SHEET-6 M-1 IN-1/4 IN-IRN-STL-CLOD,PLANCHA- ACERO- HIERRO PLANCHUELA- 1IN X 1/4IN- 6M
10276492,unidad,SHEET-6 M-2 IN-3/8 IN-IRN-STL-CLOD,PLANCHA- ACERO- HIERRO PLANCHUELA- 2IN X 3/8IN- 6 M
10276493,unidad,SHEET-12 M-2 IN-1/4 IN-IRN-STL-CLOD,PLANCHA- ACERO- HIERRO PLANCHUELA- 2IN X 1/2IN- 12M
10276494,unidad,PLATE-METAL-3 X 1/2 IN-6 M-IRN-STL-CLOD,PLANCHA- ACERO- HIERRO PLANCHUELA- 3IN X 1/2IN- 6M
10276495,unidad,SHEET-6 M-4 IN-1/2 IN-IRN-STL-CLOD,PLANCHA- ACERO- HIERRO PLANCHUELA- 4IN X 1/2IN- 6M
10252667,unidad,SHEET-GRILLED-HOT ROLD-3000 MM-1500 MM,PLANCHA- ACERO- CHAPA LAMINADA EN CALIENTE- 1/4IN- 1500MM- 3000MM
10250368,unidad,SHEET-GRILLED-HOT ROLD-6000 MM-1500 MM,PLANCHA- ACERO- CHAPA LAMINADA EN CALIENTE- 3/8IN- 1500MM- 6000MM
10252668,unidad,SHEET-GRILLED-HOT ROLD-3000 MM-1500 MM,PLANCHA- ACERO- CHAPA LAMINADA EN CALIENTE- 1/2IN- 1500MM- 3000MM
10250369,unidad,SHEET-GRILLED-HOT ROLD-3000 MM-1500 MM,PLANCHA- ACERO- CHAPA LAMINADA EN CALIENTE- 5/8IN- 1500MM- 3000MM
10251525,unidad,SHEET-GRILLED-HOT ROLD-6000 MM-1500 MM,PLANCHA- ACERO- CHAPA LAMINADA EN CALIENTE- 3/4IN- 1500MM- 6000MM
10276496,unidad,PLATE-WEAR-1/4 IN-XAR 450-500-6 MT 2MT,PLACA- DESGASTE- DUREZA- XAR 450- 1/4 IN- 6 MT- 2MT- TYSSENKRUP - FORTINOX
10252693,unidad,ROD-THREADED-1/4 IN-1 M,VARILLA- ROSCADA- 1/4 IN X 1 M
10251549,unidad,ROD-THREADED-5/16 IN-1 M,VARILLA- ROSCADA- 5/16 IN X 1 M
10254992,unidad,LAMP-LW CONSUMPTION-8 W,LAMPARA- BAJO CONSUMO- 8 W
10250423,unidad,CHANNEL-CABL-20 X 10 MM X 2 M-PVC,CABLECANAL- PVC- 20 X 10MM X 2M- PARA EXTERIORES- COLOR BLANCO- ADHESIVE
10255004,unidad,CHANNEL-CABL-30 X 10 MM X 2 M-PVC,CABLECANAL- PVC- 30 X 10MM X 2M- PARA EXTERIORES- COLOR BLANCO- ADHESIVE
10276533,unidad,CHANNEL-40 X 40 MM X 2 M-PVC-CABL,CABLECANAL- PVC- 40 X 40MM X 2M- PARA EXTERIORES- COLOR BLANCO
10276534,unidad,CHANNEL-60 X 40 MM X 2M-PVC-CABL,CABLECANAL- PVC- 60 X 40MM X 2M- PARA EXTERIORES- COLOR BLANCO
10252737,unidad,LIGHT-EMERGENCY-20 W-220 V-FREQ-50 HZ,LUZ- EMERGENCIA- ATOMLUX- 220 V- 50 HZ- 20 W- REF- 2020
10251587,unidad,BATTERY-6 V-4-.2 AH-FOR EMRGNCY LGHT,BATERIA- PARA LUCES DE EMERGENCIA- 6V- 4-2 AH
10251589,unidad,LAMP-MXR-250 W-220 V-E40,LAMPARA- MEZCLADORA- 250W / 220 V E40
10252739,metros,CABLE-FLEX-3-10 AWG,CABLE- FLEXIBLE- 10 AWG 3 CONDUCTOR
10255007,metros,SET-SOOW 90/-40 DEG C-10 AWG,CABLE-INTERRUPTOR- ELECTRICIDAD- CONJUNTO- SOOW 90/-40 DEG C- 10AWG/4C
10255008,metros,CABLE-FLEX-4-8 AWG,CABLE- FLEXIBLE- 8 AWG 4 CONDUCTOR
10255009,metros,CABLE-FLEX-4-6 AWG,CABLE- FLEXIBLE- 6 AWG 4 CONDUCTOR
10252742,metros,CABLE-P-1 X 2.5 MM,CABLE- UNIPOLAR- 1 X 2.5 MM
10250430,metros,CABLE-UNIPOLAR-1 X 6 MM,CABLE- UNIPOLAR- 1 X 6 MM
10255022,metros,CABLE-WORKSHOP-3 X 1.5 MM-CU-100 M ROL,CABLE- COBRE- TIPO- TALLER- 3 X 1.5 MM X METRO
10252747,metros,CABLE-UNIFILAR-1.5 MM-RED,CABLE- UNIFILAR- 1.5 MM- COLOR- ROJO (EN METROS)
10250434,metros,CABLE-UNIFILAR-1.5 MM-SKY BLU,CABLE- UNIFILAR- 1.5 MM- COLOR- CELESTE
10255023,metros,CABLE-UNIFILAR-1.5 MM-BLK,CABLE- UNIFILAR- 1.5 MM- COLOR- NEGRO
10250435,metros,CABLE-UNIFILAR-1.5 MM-GRN-YEL,CABLE- UNIFILAR- 1.5 MM- COLOR- VERDE Y AMARILLO
10276535,unidad,FRAME,BASTIDOR- JELUZ VERONA
10250443,unidad,COVER-CSTG-FRME-TOP,TAPA- BASTIDOR- JELUZ VERONA
10255026,unidad,HOLDER-LAMP-SCKT,PORTALAMPARAS- TRES PIEZAS
10255027,unidad,LAMP-ENRGY SAVING-LW PWR-20 W,LAMPARA- BAJO CONSUMO- 20 W
10255028,unidad,LAMP-18 W-BRND-POLYLUX,LAMPARA- POLYLUX- 18 W
10250444,unidad,LAMP-SPOT-60 W-E27-R63,LAMPARA- SPOT- 60 W- R63 E27
10255029,unidad,LAMP-SODIUM-70 W,LAMPARA- SODIO- 70 W
10276536,unidad,LIGHT-FLOOD-EXT PJTR-1000 W-220 VAC,PROYECTOR- EXTERIOR- SIMETRICO- PHILIPS HNF 003
10251799,unidad,LAMP-SODIUM-400 W-198 V-E40-UNIVSL,LAMPARA DE SODIO- 400 W- SON-T 400W- PHILIPS
10252761,unidad,LAMP-MERCURY VAPOR-HPI-150 W,LAMPARA- VAPOR MERCURIO- 150W- HPI
10250445,unidad,BALLAST-220 VAC-1000 W-MRCRY,REACTANCIA- LAMPARA- BALASTO- MERCURIO- APTO INTEMPERIE- 1000W- 220VAC
10252764,unidad,LAMP-INCANDESCENT-40 W-24 VAC-E27,LAMPARA- INCANDESCENTE- 40W- 24VAC- E27- MARCA- PHILIPS
10251802,unidad,SET-45 MF CPCTR,acrilico
10250448,unidad,FIXTURE-LIGHT-LMP-2 X 36 W-220 V,LAMPARAS Y ACCESORIOS DE LA ILUMINACION- LUMENAC- PLAFON MAREA 236 COMPLETO- IP65- 2X36W- 220V
10250449,unidad,LAMP-SODIUM-HGH PRESS VAPOR-250 W-220 V,LAMPARA- DE VAPOR DE SODIO ALTA PRESION 250 W 220V- SON-T PRO 250WE40
10251803,unidad,LAMP-METAL HALIDE-KOLORARC TUBLR-400 W,LAMPARA- MERCURIO HALOGENADO- T 400W 220V- KRC400/T/H/960 E400W E40
10251805,unidad,HOLDER-LAMP-E40-CRMC,PORTA-LAMPARA- PORCELANA- E40
10252769,unidad,HOLDER-LAMP-E27-PORC,PORTA-LAMPARA- PORCELANA- E27
10252770,unidad,LAMP-SODIUM-HGH PRESS-70 W-220 V-E39 MGL,LAMPARA DE SODIO- ALTA PRESION- 70 W- 220 V- 50 HZ- CERAMALUX C70S62/ALTO- PHILIPS
10252771,unidad,LAMP-SODIUM-HGH PRESS-150 W-220 V-E40,LAMPARA DE SODIO- ALTA PRESION- 150 W- 220 V- 50 HZ- SON T 150W/ALTO- PHILIPS
10250450,unidad,LAMP-SODIUM-HGH PRESS-400 W-220 V,LAMPARA DE SODIO- ALTA PRESION- 400 W- 220 V- 50 HZ- CERAMALUX C400S51/ALTO- PHILIPS
10250453,unidad,LAMP-SODIUM-VAPOR-150 W-E40,LAMPARA- DE VAPOR DE SODIO- ELIP PRO 150W E40- REF- 928150309891
10255424,unidad,LAMP-FLUORESCENT-58/54 W-DYLGT-TLD,LAMPARA- FLUORESCENTE- 58W/54
10250454,unidad,CIRCUIT BREAKER-10 A-10 KA-1 P,INTERRUPTOR- TERMOMAGNETICO- CURVA-C-10KA- 1 X 10 A
10252773,unidad,CIRCUIT BREAKER-16 A-10 KA-2 P,INTERRUPTOR- TERMOMAGNETICO- CURVA-C-10KA- 2 X 16 A
10252774,unidad,CIRCUIT BREAKER-25 A-10 KA-2 P,INTERRUPTOR- TERMOMAGNETICO- CURVA-C-10KA- 2 X 25 A
10251806,unidad,CIRCUIT BREAKER-16 A-10 KA-4 P,INTERRUPTOR- TERMOMAGNETICO- CURVA-C-10KA- 4 X 16 A
10250455,unidad,CIRCUIT BREAKER-25 A-10 KA-4 P,INTERRUPTOR- TERMOMAGNETICO- CURVA-C-10KA- 4 X 25 A
10252775,unidad,CIRCUIT BREAKER-32 A-10 KA-4 P,INTERRUPTOR- TERMOMAGNETICO- CURVA-C-10KA- 4 X 32 A
10250456,unidad,CIRCUIT BREAKER-50 A-10 KA-4 P-CRV-C,INTERRUPTOR- TERMOMAGNETICO- CURVA-C-10KA- 4 X 50 A
10252776,unidad,CIRCUIT BREAKER-63 A-10 KA-4 P,INTERRUPTOR- TERMOMAGNETICO- CURVA-C-10KA- 4 X 63 A
10255425,unidad,CIRCUIT BREAKER-32 A-10 KA-3 P,INTERRUPTOR- TERMOMAGNETICO- CURVA-C-10KA- 3 X 32 A
10255426,unidad,CIRCUIT BREAKER-50 A-10 KA-3 P,INTERRUPTOR- TERMOMAGNETICO- CURVA-C-10KA- 3 X 50 A
10255427,unidad,CIRCUIT BREAKER-63 A-10 KA-3 P,INTERRUPTOR- TERMOMAGNETICO- CURVA-C-10KA- 3 X 63 A
10255428,unidad,SWITCH-DIFFRNTL-25 A-NO OF P-2-IMMUNIZED,INTERRUPTOR- DIFERENCIAL- ID INMUNIZADO- 2 X 25 A
10250457,unidad,SWITCH-DIFFRNTL-63 A-NO OF P-4-IMMUNIZED,INTERRUPTOR- DIFERENCIAL- ID INMUNIZADO- 4 X 63 A
10255429,unidad,CIRCUIT BREAKER-25 A-1 P-THRML-MGNTC,INTERRUPTOR- TERMOMAGNETICO- UNIPOLAR- 1 X 25 A
10255430,unidad,CIRCUIT BREAKER-16 A-1 P-THRML-MGNTC,INTERRUPTOR- TERMOMAGNETICO- UNIPOLAR- 1 X 16 A
10251807,unidad,CIRCUIT BREAKER-32 A-1 P-THRML-MGNTC,INTERRUPTOR- TERMOMAGNETICO- UNIPOLAR- 1 X 32 A
10251808,unidad,CIRCUIT BREAKER-32 A-3 P-THRML-MGNTC,INTERRUPTOR- TERMOMAGNETICO- TRIPOLAR- 3 X 32 A
10252777,unidad,CIRCUIT BREAKER-40 A-3 P-THRML-MGNTC,INTERRUPTOR- TERMOMAGNETICO- TRIPOLAR- 3 X 40 A
10250458,unidad,SWITCH-DIFFRNTL-40 A-NO OF P-2,INTERRUPTOR- DIFERENCIAL- 2 X 40 A
10250459,unidad,SWITCH-TIME-DGTL-220 V-16 A-BRND-DILETTA,INTERRUPTOR- HORARIO- DIGITAL
10252778,unidad,INTEGRATED CIRCUIT-MCR-SET-PHOTOCONTROL,MICROCIRCUITO- CONJUNTO- FOTOCONTROL- RTF/8- 220V
10276542,unidad,CIRCUIT BREAKER-MINIATURE-6 A,INTERRUPTOR- 5SX2- 6 A- MARCA- SIEMENS
10255431,unidad,CIRCUIT BREAKER-MINIATURE-10 A,INTERRUPTOR- 5SX2- 10 A- MARCA- SIEMENS
10276543,unidad,CIRCUIT BREAKER-MINIATURE-25 A,INTERRUPTOR- 5SX2- 25 A- MARCA- SIEMENS
10276544,unidad,CIRCUIT BREAKER-MINIATURE-80 A,INTERRUPTOR- 5SX2- 80 A- MARCA- SIEMENS
10276563,unidad,RELAY-OVERLOAD-ADJSTBL-THRML PRTCTN,RELE- TERMICO- SIEMENS-SIRIUS- 3RU1126- DE PROTECCION CONTRA SOBRECARGA
10276564,unidad,RELAY-OVERLOAD-ADJSTBL-THRML PRTCTN,RELE- TERMICO- SIEMENS-SIRIUS- 3RU1116- DE PROTECCION CONTRA SOBRECARGA
10276579,unidad,SENSOR-SPEED-LW,SENSOR- BAJA VELOCIDAD- THERMO RAMSEY
10276597,unidad,LIGHT-INDICATING-PILT-RED-110 TO 120 V,LUZ- PILOTO- TIPO- OJO DE BUEY- 120/6 VAC- COLOR- ROJO- SERIE E34
10250525,unidad,LIGHT-EMERGENCY-AUTONOMOUS-HALGN,LUZ DE EMERGENCIA- ATOMLUX MODELO- 8090-2- TIPO- AUTONOMA- LAMPARA HALOGENA- 2 X 55W
10250745,unidad,ROD-THREADED-1 IN-1 M-8 TPI,VARILLA ROSCADA- 1IN- LARGO- 1M- 8 HILOS X IN
10262442,unidad,ROD-THREADED-3/4 IN-1 M-10 TPI,VARILLA ROSCADA- 3/4IN- LARGO- 1M- 10 HILOS X IN
10250751,unidad,FLANGE-BLIND-18 IN-ASTM A105 S/150,BRIDA- CIEGA- DIAMETRO- 18IN- S/150 A-105
10262470,unidad,NUT-5/8 IN-UNC-316 SS,TUERCA- ACERO INOXIDABLE 316SS- 5/8 IN UNC
10262471,unidad,NUT-7/8 IN-UNC-316 SS,TUERCA- ACERO INOXIDABLE 316SS- 7/8 IN UNC
10255707,unidad,WASHER-FLAT-PL-1/2 IN-316 SS,ARANDELA- PLANA- ACERO INOXIDABLE - 316SS- 1/2 IN
10250773,unidad,WASHER-FLAT-PL-3/4 IN-316 SS,ARANDELA- PLANA- ACERO INOXIDABLE - 316SS- 3/4 IN
10255709,unidad,WASHER-FLAT-PL-7/8 IN-316 SS,ARANDELA- PLANA- ACERO INOXIDABLE - 316SS- 7/8 IN
10250825,unidad,ELBOW-PIPE-4 IN-90 DEG-HDPE-PE4710,CODO- 90 DEG- HDPE- 4 IN- SDR 11- PE 4710
10262522,unidad,TEE-PIPE-4 IN-HDPE-PE4710-SDR 17-MLDD,TEE- HDPE- MOLDEADA- 4 X 4 IN- SDR 17- PE 4710
10255757,unidad,TEE-PIPE-8 IN-8 IN-SDR 11,TEE- SDR 11- 8 X 8 X 8 IN
10252176,unidad,PIPE-ASTM F714 PE 4710 HDPE-8 IN-40 FT,TUBERIA- HDPE- 8 IN- SDR 17 X 12 MT- ASTM F714- PE 4710
10252177,unidad,PIPE-ASTM F714 PE 4710 HDPE-12 IN-40 FT,TUBERIA- HDPE- 12 IN- SDR 17 X 12 MT- ASTM F714- PE 4710
10262703,unidad,LAMP-FLUORESCENT-20 W-T12-MED BI-PIN,LAMPARA- FLUORESCENTE- F20T12/D- 20 W- 20 IN- T-12
10255944,unidad,LAMP-FLUORESCENT-36 W-T8 STRGHT-86-TLD,LAMPARA- FLUORESCENTE- 36W- RECTO- T8- TLD- 86- SERIE 80- MARCA- PHILIPS
10262722,unidad,IGNITOR-LAMP-NA-70 W-220 V-60 HZ-REAC,IGNITOR- LAMPARA VAPOR SODIO- 70W- 220V- 60 HZ- SON70IA22/6BT- MARCA- PHILIPS
10252951,unidad,IGNITOR-LAMP-NA-150 W-220 V-60 HZ-REAC,IGNITOR- LAMPARA VAPOR SODIO- 150W- 220V- 60 HZ- SON150IA226BT- MARCA- PHILIPS
10255960,unidad,LAMP-INCANDESCENT-25 W-110 V-E14-FILMNT,LAMPARA INCANDESCENTE- LRE14T- 25W- 110 V- E14 (CIRCULINA SIRENA)
10252957,unidad,LAMP-SODIUM-HGH O/P-400 W-220 V-E40,LAMPARA- VAPOR DE SODIO- 220V- 400W- E40- ROSCA- LUCALOX- LU400/HO/T/40 NG- CLARA COD. 47963
10251004,unidad,IGNITOR-LAMP-FRICTION-HPS-400 W-220 V,IGNITOR- PARA LAMPARA DE VAPOR DE SODIO- 220V- 400W
10262728,unidad,CONDENSER-REFR-220 V-400 W-HPS LMP,CONDENSADOR- PARA LAMPARA DE VAPOR DE SODIO- 220V- 400W
10251005,unidad,LAMP-SODIUM-HGH O/P-250 W-220 V-E40,LAMPARA- VAPOR DE SODIO- 220V- 250W- E40- LUCALOX- LU250/HO/T/40- CLARA COD. 35120
10251006,unidad,COIL-ELECTRICAL-STRTR-220 V-IGNTOR,BOBINA- ARRANQUE- IGNITOR PARA LAMPARA DE VAPOR DE SODIO- 220V- 250W
10262859,unidad,ANGLE-1-1/2 X 1-1/2 X 3/16 IN,ANGULO- ACERO- 1-1/2IN X 1-1/2IN X 3/16IN- ASTM A36- 6000MM
10262860,unidad,ANGLE-2 X 2 X 1/4 IN X 20 FT LG,ANGULO- ACERO- 2IN X 2IN X 1/4IN- ASTM A36- 6000MM
10256067,unidad,ANGLE-4 X 4 X 1/2 IN X 20 FT LG,ANGULO- ACERO- 4IN X 4IN X 1/2IN- ASTM A36- 6000MM
10251113,unidad,ANGLE-4 X 4 X 1/4 IN X 20 FT LG,ANGULO- ACERO- 4IN X 4IN X 1/4IN- ASTM A36- 6000MM
10251115,unidad,PLATE-1/16 X 48 X 96 IN-ASTM A36 STL,PLACA- ACERO- 1/16IN X 48IN X 96IN- ASTM A36
10256071,unidad,PLATE-1/2 X 60 X 120 IN-ASTM A36 STL,PLACA- ACERO- 1/2IN X 1500 x 3000MM- ASTM A36
10256072,unidad,PLATE-1/4 X 60 X 120 IN-ASTM A36 STL,PLACA- ACERO- 1/4IN X 1500 x 3000MM- ASTM A36
10251118,unidad,PLATE-1/8 X 60 X 120 IN-ASTM A36 STL,PLACA- ACERO- 1/8IN X 1500 x 3000MM- ASTM A36
10256824,unidad,ROD-THREADED-1-1/4 IN-12 TPI-300 MM-UNC,VARILLA- ROSCADA- ACERO- 1 1/4 IN X 300 MM-12UNC- G8
10266208,unidad,SLEEVE-DN100/4 IN-EPDM-FLGD,MANGUITO- EPDM- CON BRIDA 4 IN- DN100
10256960,unidad,SLEEVE-DN80/3 IN-EPDM-FLGD,MANGUITO- EPDM- CON BRIDA 3 IN- DN80
10278603,unidad,CHANNEL-SLTD-40 X 50 MM-PVC-CABL,CABLECANAL- PVC- 40 X 50MM- RANURADO- REF- ZOL0006- MARCA- ZOLODA
10278604,unidad,CHANNEL-SLTD-70 X 50 MM-PVC-CABL,CABLECANAL- PVC- 70 X 50MM- RANURADO- REF- ZOL0008- MARCA- ZOLODA
10278605,unidad,CHANNEL-SLTD-100 X 80 MM-PVC-CABL,CABLECANAL- PVC- 100 X 80MM- RANURADO- REF- ZOL0011- MARCA- ZOLODA
10266361,unidad,PLUG-EXPANSION-4-WAY-FXNG-8 MM-NYL,TACO- FIJACION- PVC- 8MM- REF- SX8-70008- MARCA- FISCHER
10266362,unidad,PLUG-EXPANSION-4-WAY-FXNG-10 MM-NYL,TACO- FIJACION- PVC- 10MM- REF- SX10-070010- MARCA- FISCHER
10266363,unidad,PLUG-EXPANSION-4-WAY-FXNG-12 MM-NYL,TACO- FIJACION- PVC- 12MM- REF- SX12-070012- MARCA- FISCHER
10257120,unidad,BOLT-ANCHOR-10 MM-MTL-TACO-FIXTN,TACO- FIJACION- METALICO- 10MM- FWA 10/35 X 115- REF- 045794- MARCA- FISCHER
10257121,unidad,BOLT-ANCHOR-12 MM-MTL-TACO-FIXTN,TACO- FIJACION- METALICO- 12MM- FWA 12/30 X 120- REF- 045795- MARCA- FISCHER
10266364,unidad,PLUG-1/4 IN-MTLC-FXNG-SRM,TACO- FIJACION- METALICO- SRM 1/4- REF- 615192- MARCA- FISCHER
10254442,unidad,PLUG-SLF-DRIL-3/8 IN-MTLC-FXNG-SRM,TACO- FIJACION- METALICO- SRM 3/8- REF- 615194- MARCA- FISCHER
10257171,metros,CABLE-1 X 16 MM-CU-GRN/YEL-P,CABLE- COBRE- UNIPOLAR- 1 X 16- VERDE/AMARILLO- MARCA- PRYSMIAN
10266420,metros,CABLE-UNIPOLAR-1 X 35 MM-CU-GRN/YEL,CABLE- COBRE- UNIPOLAR- 1 X 35 MM- VERDE/AMARILLO- MARCA- PRYSMIAN
10267990,unidad,NIPPLE-1-1/2 IN-NPT-6 IN-316 SS,NIPLE- ACERO INOXIDABLE- 316 SS- 1-1/2 X 6 IN- NPT- FABRICANTE- FAMIQ
10281507,unidad,TEE-1/4 IN,TEE-1/4
10281508,unidad,TEE-3/8 IN,TEE-3/8
10268265,unidad,TEE-1/2 IN,TEE-L/2
10268266,unidad,TEE-3/4 IN,TEE- 3/4
10281509,unidad,TEE,TEE-I
10268267,unidad,TEE-1-1/4 IN,TEE- 1-1/4
10286330,unidad,TEE-PIPE-3/4 IN-3/4 IN-GALVZ,TEE- 3/4IN
10269252,unidad,LAMP-INCANDESCENT-1.2 W-24 V,LAMP- INCANDESCENT- 24V 1.2W 24V 1.2W
10287695,metros,HEATER-TRACE-69 W-115 V,HATER- TRACE- 115V- 69W
10271895,unidad,NIPPLE-CONDUIT-1-1/2 IN-3 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1-1/2X3
10260378,unidad,NIPPLE-CONDUIT-CLSE-1-1/2 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1-1/2XCLOSE
10269686,unidad,NIPPLE-CONDUIT-CLSE-1-1/4 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1-1/4XCLOSE
10264258,unidad,NIPPLE-CONDUIT-1/2 IN-5 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1/2X5
10269690,unidad,NIPPLE-CONDUIT-1-1/2 IN-4 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1-1/2X4
10260380,unidad,NIPPLE-CONDUIT-1-1/2 IN-5 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1-1/2X5
10271897,unidad,NIPPLE-CONDUIT-1-1/2 IN-6 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1-1/2X6
10271898,unidad,NIPPLE-CONDUIT-1-1/4 IN-2 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1-1/4X2
10271899,unidad,NIPPLE-CONDUIT-1-1/4 IN-3 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1-1/4X3
10271900,unidad,NIPPLE-CONDUIT-1-1/4 IN-4 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1-1/4X4
