codigo,descripcion,unidad_medida,tipo
HER-01,Sierra Copa BI metalica 70 mm - Marca bremen ,Unidades,Herramientas 
HER-02,Sierra Copa BI metalica 64 mm - Marca bremen ,Unidades,Herramientas 
HER-03,Juego de Mecha Acero Rapido de 25 piezas - codigo AL8239,Unidades,Herramientas 
LIB-01,Cinta Ancha Transparente - Medida 40x100 ,Unidades,Librería
LIB-02,Resma 80g - A 4,Unidades,Librería
LIB-03,Cuaderno A4 - Marca Avon ,Unidades,Librería
MAN-01,Guante - Poliester Palma Baño PU Negro,Unidades,Manos
MAN-02,Guante de Acrilonitrilo Verde - Talle 10,Unidades,Manos
MAN-03,Guante de Acrilonitrilo Verde - Talle 11,Unidades,Manos
MAN-04,Guante de Acrilonitrilo Verde - Talle 9 ,Unidades,Manos
MAN-05,Guante MAPA ULTRANE 526 - Talle 10,Unidades,Manos
MAN-06,Guante MAPA ULTRANE 526 - Talle 11,Unidades,Manos
MAN-07,Guante MAPA ULTRANE 526 - Talle 9,Unidades,Manos
MAN-08,Guantes - Anti Impacto - Talle 10 ,Unidades,Manos
MAN-09,Guantes - Anti Impacto - Talle 11,Unidades,Manos
MAN-10,Guantes - Anti Impacto - Talle 9,Unidades,Manos
MAN-11,Guantes - Anticorte - Talle 10 ,Unidades,Manos
MAN-12,Guantes - Anticorte - Talle 11,Unidades,Manos
MAN-13,Guantes - Anticorte - Talle 9,Unidades,Manos
MAN-14,Guantes de Nitrilo Azul - Poliéster bañando en látex Corrugado - Talle 10,Unidades,Manos
MAN-15,Guantes de Nitrilo Azul - Poliéster bañando en látex Corrugado - Talle 8,Unidades,Manos
MAN-16,Guantes de Nitrilo Azul - Poliéster bañando en látex Corrugado - Talle 9,Unidades,Manos
MAN-17,Guantes de Nitrilo Rojos  - G13 poliéster bañando en látex - Talle 8,Unidades,Manos
MAN-18,Guantes de Nitrilo Rojos  - G13 poliéster bañando en látex - Talle 9,Unidades,Manos
MAN-19,Guantes de Nitrilo Rojos - G13 poliéster bañando en látex - Talle 10,Unidades,Manos
MAN-20,Guantes de Vaqueta - Puño Corto C/Abrigo - Talle 10,Unidades,Manos
MAN-21,Guantes de Vaqueta - Puño Corto C/Abrigo - Talle 11,Unidades,Manos
MAN-22,Guantes de Vaqueta - Puño Corto C/Abrigo - Talle 9,Unidades,Manos
MAN-23,Guantes de Vaqueta - Puño Corto S/Abrigo - Talle 10,Unidades,Manos
MAN-24,Guantes de Vaqueta - Puño Corto S/Abrigo - Talle 11,Unidades,Manos
MAN-25,Guantes de Vaqueta - Puño Corto S/Abrigo - Talle 9,Unidades,Manos
MAN-26,Guantes de Vaqueta Puño Largo C/Abrigo - Talle 10,Unidades,Manos
MAN-27,Guantes de Vaqueta Puño Largo C/Abrigo - Talle 11,Unidades,Manos
MAN-28,Guantes de Vaqueta Puño Largo C/Abrigo - Talle 9,Unidades,Manos
MAN-29,Guantes de Vaqueta Puño Largo S/Abrigo - Talle 10,Unidades,Manos
MAN-30,Guantes de Vaqueta Puño Largo S/Abrigo - Talle 11,Unidades,Manos
MAN-31,Guantes de Vaqueta Puño Largo S/Abrigo - Talle 9,Unidades,Manos
MAN-32,Guantes Latex Descartable x 100 unidades - Talle L ,Unidades,Manos
MAN-33,Guantes Latex Descartable x 100 unidades - Talle M ,Unidades,Manos
MAN-34,Guantes Latex Descartable x 100 unidades - Talle S ,Unidades,Manos
MAN-35,Guantes Latex Descartable x 100 unidades - Talle XL ,Unidades,Manos
OCU-01,Anteojos de seguridad - Marca 3M - Claros ,Unidades,Ocular 
OCU-02,Anteojos de seguridad - Marca 3M - Oscuros ,Unidades,Ocular 
OCU-03,Anteojos de seguridad - Marca Libus Ecoline - Claros,Unidades,Ocular 
OCU-04,Anteojos de seguridad - Marca Libus Ecoline - Oscuros,Unidades,Ocular 
OCU-05,Anteojos de seguridad - Marca Libus Fall Dual - Claros,Unidades,Ocular 
OCU-06,Anteojos de seguridad - Marca Libus Fall Dual - Oscuros,Unidades,Ocular 
OCU-07,Anteojos de seguridad - Marca Steelpro X5 - Claros,Unidades,Ocular 
OCU-08,Anteojos de seguridad - Marca Steelpro X5 - Oscuros,Unidades,Ocular 
OCU-09,Anteojos De Seguridad - Marcas Libus  Hayat - Claros ,Unidades,Ocular 
OCU-10,Anteojos De Seguridad - Marcas Libus  Hayat - Oscuros ,Unidades,Ocular 
