codigo,marca,modelo,tipo,descripcion,panol
AL 8169,Biassoni,27mm,Manuales,Martillo galponero,Pañol Veladero
AL 8170,Bremen,"8""",Manuales,Lima redonda,Pañol Veladero
AL 8171,Coner,"bastarda 8""",Manuales,Lima media caña,Pañol Veladero
AL 8172,Evel,16”,Medición,Nivel de mano,Pañol Veladero
AL 8173,Evel,505,Medición,Cinta métrica de acero,Pañol Veladero
AL 8174,Evel,505,Medición,Cinta métrica de acero,Pañol Veladero
AL 8175,Crossmaster,994 00 58,Manuales,Arco para sierra ergonómico,Pañol Veladero
AL 8176,Hamilton,"apc80 8""",Manuales,Pinza pelacables,Pañol Veladero
AL 8177,Crossmaster,"8""",Manuales,"Pinza universal de 8"" aislada",Pañol Veladero
AL 8178,Crossmaster,"8""",Manuales,"Pinza universal de 8"" aislada",Pañol Veladero
AL 8179,Crossmaster,"8""",Manuales,"Pinza de punta de 8"" aislada",Pañol Veladero
AL 8180,Workpro,"8""",Manuales,"Pinza de punta de 8"" aislada",Pañol Veladero
AL 8181,Workpro,"8""",Manuales,"Alicate de corte 8"" oblicuo",Pañol Veladero
AL 8182,Workpro,"8""",Manuales,"Alicate de corte 8"" oblicuo",Pañol Veladero
AL 8183,Hamilton,hss19pz,Manuales,Set de mechas professional,Pañol Veladero
AL 8184,Isard,4 - 32mm,Manuales,Mecha escalonada,Pañol Veladero
AL 8185,Workpro,9 piezas ,Manuales,Juego de llaves combinadas,Pañol Veladero
AL 8186,De Walt,dwe4212-14,Eléctricas,Amoladora,Pañol Veladero
AL 8187,Makita,Ga7020 2200w,Eléctricas,"Amoladora de 7""",Pañol Veladero
AL 8188,Tawak,tk02,Eléctricas,Termofusora,Pañol Veladero
AL 8188,N/A,20mm,Manuales,Boquilla de 20mm,Pañol Veladero
AL 8189,Crossmaster,61010-1,Medición,Detector de voltaje inductivo,Pañol Veladero
AL 8190,Crossmaster,61010-1,Medición,Detector de voltaje inductivo,Pañol Veladero
AL 8191,Hamilton, philips 75mm,Manuales,Destornillador,Pañol Veladero
AL 8192,Hamilton,philips 80mm,Manuales,Destornillador,Pañol Veladero
AL 8193,Hamilton,philips 100mm,Manuales,Destornillador,Pañol Veladero
AL 8194,Hamilton,plana 75mm,Manuales,Destornillador,Pañol Veladero
AL 8195,Hamilton,plana 125mm,Manuales,Destornillador,Pañol Veladero
AL 8196,Hamilton,plana 150mm,Manuales,Destornillador,Pañol Veladero
AL 8197,Workpro,10”,De Corte,Tijera de aviación recta,Pañol Veladero
AL 8198,Truper,2”,Manuales,Espátula 2”,Pañol Veladero
AL 8199,Truper,2”,Manuales,Espátula 2”,Pañol Veladero
AL 8200,Truper,4”,Manuales,Espátula 4”,Pañol Veladero
