codigo,marca,modelo,tipo,descripcion,panol
AL 8617,Santa Juana ,31 cm,Medición,Escuadra,Pañol Veladero
AL 8618,Biassoni,27 mm,Manuales,Martillo galponero,Pañol Veladero
AL 8619,N/A,gris,Herramientas,Caja de herramienta metálica,Pañol Veladero
AL 8620,Lusqtoff,jlc12-9,Manuales,Juego de llaves combinadas armado (8 - 24mm),Pañol Veladero
AL 8649,N/A,aluminio,Manuales,Extension para rodillo,Pañol Veladero
AL 8650,N/A,aluminio,Manuales,Extension para rodillo,Pañol Veladero
AL 8662,Wembley,5/16´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8663,Wembley,5/16´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8664,Wembley,5/16´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8665,Wembley,5/16´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8666,Wembley,5/16´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8667,Bremen,3/8´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8668,Bremen,3/8´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8669,Bremen,3/8´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8670,Bremen,3/8´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8671,Bremen,3/8´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8672,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8673,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8674,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8675,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8676,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8677,Lakatus,"1/4""",Manuales,Boquilla magnética,Pañol Veladero
AL 8678,Lakatus,"1/4""",Manuales,Boquilla magnética,Pañol Veladero
AL 8679,Lakatus,"1/4""",Manuales,Boquilla magnética,Pañol Veladero
AL 8680,Lakatus,"1/4""",Manuales,Boquilla magnética,Pañol Veladero
AL 8685,APL pro,N/A,Manuales,Pistola para cartuchos de silicona,Pañol Veladero
AL 8686,APL pro,N/A,Manuales,Pistola para cartuchos de silicona,Pañol Veladero
AL 8687,Gigant,10 mts,Medición,Cinta métrica,Pañol Veladero
AL 8688,Gigant,10 mts,Medición,Cinta métrica,Pañol Veladero
AL 8689,Evel,5 mts,Medición,Cinta métrica,Pañol Veladero
AL 8690,Evel,5 mts,Medición,Cinta métrica,Pañol Veladero
AL 8691,Hamilton,precisión,Manuales,Juego x 6 destornilladores de precisión,Pañol Veladero
AL 8692,Hamilton,precisión,Manuales,Juego x 6 destornilladores de precisión,Pañol Veladero
AL 8693,Hamilton,professional band,Manuales,Juego de llaves torx,Pañol Veladero
AL 8694,Hamilton,professional band,Manuales,Juego de llaves hexagonal métricas,Pañol Veladero
AL 8697,Crossmaster ,N/A,Manuales,Set formones mango acrílico,Pañol Veladero
AL 8698,Crossmaster,N/A,Manuales,Set formones mango acrílico,Pañol Veladero
AL 8699,N/A,70 cm,Manuales,Cabo de madera para pala,Pañol Veladero
AL 8700,N/A,70 cm,Manuales,Cabo de madera para pala,Pañol Veladero
AL 8701,N/A,70 cm,Manuales,Cabo de madera para pala,Pañol Veladero
AL 8702,N/A,70 cm,Manuales,Cabo de madera para pala,Pañol Veladero
AL 8703,N/A,70 cm,Manuales,Cabo de madera para pala,Pañol Veladero
AL 8704,N/A,N/A,Manuales,Cabo de madera para maza,Pañol Veladero
AL 8705,N/A,N/A,Manuales,Cabo de madera para maza,Pañol Veladero
AL 8706,N/A,N/A,Manuales,Cabo de madera para maza,Pañol Veladero
AL 8707,N/A,N/A,Manuales,Cabo de madera para maza,Pañol Veladero
AL 8708,N/A,N/A,Manuales,Cabo de madera para maza,Pañol Veladero
AL 8709,N/A,92 cm,Manuales,Cabo de madera para pico pala,Pañol Veladero
AL 8710,N/A,92 cm,Manuales,Cabo de madera para pico pala,Pañol Veladero
AL 8711,N/A,92 cm,Manuales,Cabo de madera para pico pala,Pañol Veladero
AL 8712,N/A,92 cm,Manuales,Cabo de madera para pico pala,Pañol Veladero
AL 8713,N/A,92 cm,Manuales,Cabo de madera para pico pala,Pañol Veladero
AL 8714,N/A,135 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8715,N/A,135 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8716,N/A,135 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8717,N/A,135 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8718,N/A,135 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8721,N/A,Calisuar,Manuales,Juego x 8 calisuar,Pañol Veladero
AL 8722,N/A,Calisuar,Manuales,Juego x 8 calisuar,Pañol Veladero
AL 8723,Nippon,ttk - 725,Manuales,Pinza grimpeadora,Pañol Veladero
AL 8734,Bremen,"5""",Manuales,Cortavidrio de diamante,Pañol Veladero
AL 8735,Bremen,"5""",Manuales,Cortavidrio de diamante,Pañol Veladero
AL 8754,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8755,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8756,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8757,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8758,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8759,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8760,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8761,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8762,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8763,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8765,N/A,137 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8766,N/A,138 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8767,N/A,139 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8768,N/A,140 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8769,N/A,70 cm,Manuales,Cabo de madera para pala,Pañol Veladero
AL 8770,N/A,70 cm,Manuales,Cabo de madera para pala,Pañol Veladero
AL 8771,N/A,70 cm,Manuales,Cabo de madera para pala,Pañol Veladero
AL 8772,N/A,70 cm,Manuales,Cabo de madera para pala,Pañol Veladero
AL 8776,Dogo,Bronce de 25 mm,Manuales,Candado reforzado,Pañol Veladero
AL 8777,Dogo,Bronce de 25 mm,Manuales,Candado reforzado,Pañol Veladero
AL 8778,Dogo,Bronce de 25 mm,Manuales,Candado reforzado,Pañol Veladero
AL 8779,Hamilton,Hezagonal 32 mm,Manuales,Bocallave,Pañol Veladero
AL 8780,Bremen,Encastre 30 mm,Manuales,Bocallave,Pañol Veladero
AL 8781,Crossmaster,Encastre 13 mm,Manuales,Bocallave,Pañol Veladero
AL 8782,Hamilton,Encastre 12 mm,Manuales,Bocallave,Pañol Veladero
AL 8783,Hamilton,Encastre 1/2,Manuales,Movimiento universal,Pañol Veladero
AL 8784,Total,Encastre 1/2,Manuales,Llave criquet,Pañol Veladero
AL 8789,De Walt,125 mm,Eléctricas,Amoladora angular,Pañol Veladero
AL 8790,De Walt,Dwe4212,Eléctricas,Amoladora angular,Pañol Veladero
AL 8791,Guiller,LL-25,Medición,Nivel escuadra,Pañol Veladero
AL 8793,De Walt,Dwe4557,Eléctricas,Amoladora angular,Pañol Veladero
AL 8799,Hodpeak,HP-866B,Medición,Anemómetro,Pañol Veladero
AL 8801,N/A,N/A,Herramientas,Puntas para tester,Pañol Veladero
AL 8802,N/A,N/A,Herramientas,Puntas para tester,Pañol Veladero
AL 8803,De Walt,D2611-AR,Eléctricas,Pistola de calor,Pañol Veladero
AL 8844,Isard,4-32mm,Herramientas,Mecha escalonada,Pañol Veladero
AL 8845,Gardex,N/A,Manuales,Pistola para cartuchos de silicona,Pañol Veladero
AL 8846,N/A,Plastica,Manuales,Espatula para masillar,Pañol Veladero
AL 8847,N/A,Plastica,Manuales,Espatula para masillar,Pañol Veladero
AL 8848,N/A,Plastica,Manuales,Espatula para masillar,Pañol Veladero
AL 8849,N/A,Plastica,Manuales,Espatula para masillar,Pañol Veladero
AL 8850,N/A,Plastica,Manuales,Espatula para masillar,Pañol Veladero
AL 8851,N/A,Plastica,Manuales,Espatula para masillar,Pañol Veladero
AL 8852,N/A,Plastica,Manuales,Espatula para masillar,Pañol Veladero
AL 8853,N/A,Plastica,Manuales,Espatula para masillar,Pañol Veladero
AL 8854,N/A,Plastica,Manuales,Espatula para masillar,Pañol Veladero
AL 8855,N/A,Plastica,Manuales,Espatula para masillar,Pañol Veladero
AL 8856,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8857,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8858,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8859,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8860,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8861,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8863,Rubi,HIT 1000N,Manuales,Cortadora de cerámico,Pañol Veladero
AL 8864,Rubi,10mm,Manuales,Lápiz para cortar cerámico,Pañol Veladero
AL 8889,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8890,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8891,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8892,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8893,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8894,Hamilton,ULT101 ION-LITIO,Eléctricas,Batería 2 0Ah 20V,Pañol Veladero
AL 8903,Bosch,GMS-120,Eléctricas,Detector de materiales,Pañol Veladero
AL 8904,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8905,N/A,N/A,Manuales,Cabo de madera para martillo,Pañol Veladero
AL 8906,N/A,N/A,Manuales,Cabo de madera para martillo,Pañol Veladero
AL 8907,N/A,N/A,Manuales,Cabo de madera para martillo,Pañol Veladero
AL 8908,N/A,N/A,Manuales,Cabo de madera para martillo,Pañol Veladero
AL 8909,N/A,N/A,Manuales,Cabo de madera para martillo,Pañol Veladero
AL 8910,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8911,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8912,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8913,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8920,Davidson,D-2315-05,Manuales,Escalera tijera de aluminio,Pañol Veladero
AL 8921,Davidson,D-2315-05,Manuales,Escalera tijera de aluminio,Pañol Veladero
AL 8938,Kalop,Helicoidal 10m,Manuales,Cinta pasacables,Pañol Veladero
AL 8939,Kalop,Helicoidal 10m,Manuales,Cinta pasacables,Pañol Veladero
