"cliente","descripcion","fecha_ingreso","fecha_garantia","marca","codigo","sector","grupo","criticidad","estado","fecha_ultimalectura","ultima_lectura","descrip_tecnica","area","proceso","numero_serie","meta disponibilidad","procesado","fec_proceso"
"JOSEMARIA","CAMION COMBUSTIBLE","01-09-2023 00:00","01-09-2023 00:00","FORD","DMCAMCAD098OB","JM","CAMION COMBUSTIBLE","A CONFIRMAR","A CONFIRMAR","01-09-2023 00:00","1.1","F4000","ALTA MONTAÑA","SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE COMBUSTIBLE","AD098OB","","",""
"JOSEMARIA","CAMION COMBUSTIBLE","01-09-2023 00:00","01-09-2023 00:00","MERCEDEZ BENZ","DMCAMCAE450BP","JM","CAMION COMBUSTIBLE","A CONFIRMAR","A CONFIRMAR","01-09-2023 00:00","1.1","AXOR3131","ALTA MONTAÑA","SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE COMBUSTIBLE","AE450BP","","",""
"JOSEMARIA","CAMION REGADOR","01-09-2023 00:00","01-09-2023 00:00","SCANIA","DMCAMRPMZ240","JM","CAMION REGADOR","A CONFIRMAR","A CONFIRMAR","01-09-2023 00:00","1.1","G420,","ALTA MONTAÑA","SERVICIOS VIALES","PMZ240","","",""
"JOSEMARIA","CAMION TRACTOR","01-09-2023 00:00","01-09-2023 00:00","SCANIA","DMCATAE823BH","JM","CAMION TRACTOR","A CONFIRMAR","A CONFIRMAR","01-09-2023 00:00","1.1","XT G410","ALTA MONTAÑA","SERVICIOS VIALES","AE823BH","","",""
"JOSEMARIA","CAMION HIDROGRUA","01-09-2023 00:00","01-09-2023 00:00","VOLVO","DMCAMHIAE015PW","JM","CAMION HIDROGRUA","A CONFIRMAR","A CONFIRMAR","01-09-2023 00:00","1.1","FMX460","ALTA MONTAÑA","SERVICIO DE HIDROGRÚA","AE015PW","","",""
"JOSEMARIA","CAMIONETA","01-09-2023 00:00","01-09-2023 00:00","TOYOTA","DMCTAAE209FO","JM","CAMIONETA","A CONFIRMAR","A CONFIRMAR","01-09-2023 00:00","1.1","Hilux 2,8","ALTA MONTAÑA","SERVICIO DE CAMIONETAS","AE209FO","","",""
"JOSEMARIA","CAMIONETA","01-09-2023 00:00","01-09-2023 00:00","TOYOTA","DMCTAAE418HL","JM","CAMIONETA","A CONFIRMAR","A CONFIRMAR","01-09-2023 00:00","1.1","Hilux 2,8","ALTA MONTAÑA","SERVICIO DE CAMIONETAS","AE418HL","","",""
"JOSEMARIA","CAMIONETA","01-09-2023 00:00","01-09-2023 00:00","TOYOTA","DMCTAAF564GJ","JM","CAMIONETA","A CONFIRMAR","A CONFIRMAR","01-09-2023 00:00","1.1","Hilux 2,8","ALTA MONTAÑA","SERVICIO DE CAMIONETAS","AF564GJ","","",""
"JOSEMARIA","CAMIONETA","01-09-2023 00:00","01-09-2023 00:00","TOYOTA","DMCTAAF919OR","JM","CAMIONETA","A CONFIRMAR","A CONFIRMAR","01-09-2023 00:00","1.1","Hilux 2.4","ALTA MONTAÑA","SERVICIO DE CAMIONETAS","AF919OR","","",""
"JOSEMARIA","CAMIONETA","01-09-2023 00:00","01-09-2023 00:00","TOYOTA","DMCTAAF860LJ","JM","CAMIONETA","A CONFIRMAR","A CONFIRMAR","01-09-2023 00:00","1.1","Hilux 2.8","ALTA MONTAÑA","SERVICIO DE CAMIONETAS","AF860LJ","","",""
"JOSEMARIA","CAMIONETA","01-09-2023 00:00","01-09-2023 00:00","TOYOTA","DMCTAAG020GR","JM","CAMIONETA","A CONFIRMAR","A CONFIRMAR","01-09-2023 00:00","1.1","Hilux 2.8","ALTA MONTAÑA","SERVICIO DE CAMIONETAS","AG020GR","","",""
